Team,,Record,,&Delta;,Rat,,Pwr,,Off,,Def,,HFA,SoS,
Bryant,Big South,4-7,0.364,+1,83,5.16,76,22.74,63,40.70,97,9.25,2.22,90,22.70
Lafayette,Patriot League,4-7,0.364,-1,84,5.16,96,18.04,122,28.35,39,16.91,2.23,80,25.57
Stony Brook,Coastal,2-9,0.182,,85,5.15,80,21.81,108,33.39,45,15.63,2.35,55,30.48
Charleston So,Big South,2-8,0.200,,86,5.15,77,22.66,83,36.81,67,13.07,2.28,57,30.18
Idaho St,Big Sky,1-10,0.091,,87,5.15,79,22.35,90,36.09,63,13.47,2.38,18,38.29
Cal Poly,Big Sky,2-9,0.182,,88,5.12,86,20.84,59,41.41,111,6.64,2.31,31,33.95
Alabama St,Southwestern AC,6-5,0.545,+1,89,5.11,102,16.81,120,29.55,56,14.48,2.16,114,17.22
Northwestern LA,Southland,4-7,0.364,-1,90,5.10,100,17.34,87,36.36,103,8.19,2.21,70,26.87
TX Southern,Southwestern AC,5-6,0.455,+1,91,5.05,101,17.31,92,35.57,99,8.95,2.23,99,20.79
W Illinois,Missouri Valley,0-11,0.000,-1,92,5.04,68,24.61,66,39.68,70,12.15,2.29,12,40.66
Murray St,OH Valley,2-9,0.182,+1,93,5.02,91,19.55,93,35.36,80,11.41,2.25,53,30.77
Howard,Mid-Eastern AC,5-6,0.455,-1,94,5.02,94,18.36,82,36.90,102,8.68,2.23,110,18.89
E Illinois,OH Valley,2-9,0.182,,95,5.02,88,20.36,84,36.71,87,10.86,2.22,63,28.97
Colgate,Patriot League,3-8,0.273,,96,5.01,90,19.65,91,35.71,82,11.16,2.24,81,25.54
Duquesne,Northeast,4-7,0.364,,97,5.00,87,20.38,85,36.52,83,11.08,2.15,102,20.10
Brown,Ivy League,3-7,0.300,,98,4.99,99,17.41,68,39.51,118,5.12,2.29,75,26.21
Sacred Heart,Northeast,5-6,0.455,,99,4.96,97,17.83,103,34.08,85,10.97,2.25,116,16.39
VMI,Southern,1-10,0.091,,100,4.94,85,21.19,78,37.41,84,10.99,2.23,50,31.68
Davidson,Pioneer,8-4,0.667,,101,4.90,109,13.29,94,35.34,117,5.17,2.12,121,10.76
Alabama A&M,Southwestern AC,4-7,0.364,,102,4.89,104,15.47,86,36.48,112,6.21,2.19,91,22.35
Dayton,Pioneer,8-3,0.727,,103,4.86,110,13.12,106,33.58,110,6.75,2.26,128,7.24
North Alabama,Atlantic Sun,1-10,0.091,,104,4.85,82,21.49,44,43.51,116,5.19,2.21,61,29.27
San Diego,Pioneer,5-5,0.500,+1,105,4.80,103,16.32,110,32.83,89,10.70,2.17,122,10.69
S Carolina St,Mid-Eastern AC,3-8,0.273,-1,106,4.78,98,17.45,99,34.55,92,10.12,2.17,106,19.61
Lehigh,Patriot League,2-9,0.182,,107,4.78,105,15.28,116,30.54,72,11.96,2.24,79,25.69
Grambling,Southwestern AC,3-8,0.273,+1,108,4.73,107,14.30,107,33.45,106,8.07,2.33,98,21.04
Morgan St,Mid-Eastern AC,4-7,0.364,-1,109,4.72,111,11.89,115,31.03,105,8.08,2.29,111,18.83
LIU Post,Northeast,4-7,0.364,,110,4.70,114,10.68,96,34.98,121,2.92,2.26,101,20.47
Bucknell,Patriot League,3-8,0.273,,111,4.68,117,9.34,128,26.57,95,9.98,2.30,88,23.51
Butler,Pioneer,7-4,0.636,,112,4.67,122,8.17,118,30.16,115,5.23,2.15,124,9.11
Houston Chr,Southland,2-9,0.182,,113,4.61,113,10.90,113,31.93,113,6.19,2.20,83,25.12
Delaware St,Mid-Eastern AC,5-6,0.455,,114,4.60,119,8.66,127,27.03,101,8.84,2.24,120,12.18
Lamar,Southland,1-10,0.091,,115,4.56,106,14.54,97,34.90,109,6.86,2.25,73,26.39
Central Conn,Northeast,2-9,0.182,,116,4.54,108,13.34,117,30.50,94,10.06,2.22,104,20.00
MS Valley St,Southwestern AC,2-9,0.182,,117,4.51,121,8.20,123,27.94,107,7.48,2.28,86,24.30
Stonehill,Northeast,4-5,0.444,,118,4.50,115,10.50,112,32.09,114,5.62,2.23,123,9.71
Georgetown,Patriot League,2-9,0.182,,119,4.43,116,10.45,105,33.89,119,3.77,2.18,103,20.08
Bethune-Cookman,Southwestern AC,2-9,0.182,+2,120,4.41,112,11.14,73,38.38,127,-0.02,2.20,105,19.93
Valparaiso,Pioneer,5-7,0.417,-1,121,4.41,125,6.43,114,31.43,124,2.22,2.23,119,12.47
Norfolk St,Mid-Eastern AC,2-9,0.182,-1,122,4.40,118,9.31,101,34.30,123,2.23,2.14,96,21.29
Drake,Pioneer,3-8,0.273,,123,4.32,123,7.92,129,26.25,100,8.88,2.11,118,13.52
Ark Pine Bluff,Southwestern AC,3-8,0.273,,124,4.32,124,7.24,111,32.41,125,2.04,2.20,117,14.92
Marist,Pioneer,4-7,0.364,,125,4.15,126,2.91,124,27.50,122,2.63,2.18,125,8.69
Robert Morris,Big South,0-11,0.000,,126,4.12,120,8.20,126,27.24,104,8.18,2.21,76,25.97
Stetson,Pioneer,4-6,0.400,,127,4.02,127,2.46,119,30.11,128,-0.44,2.24,130,4.37
Wagner,Northeast,1-10,0.091,,128,4.00,128,1.63,125,27.37,126,1.48,2.32,93,21.78
Morehead St,Pioneer,2-9,0.182,,129,3.79,129,1.56,121,29.26,129,-0.49,2.26,126,7.81
Presbyterian,Pioneer,1-10,0.091,,130,3.19,130,-9.32,130,24.50,130,-6.61,2.32,129,6.11
