Team,,Record,,&Delta;,Rat,,Pwr,,Off,,Def,,HFA,SoS,
E Kentucky,FCS Indep,3-6,0.333,+1,43,5.80,43,28.87,33,42.50,47,14.01,2.13,24,35.14
William & Mary,Coastal,1-2,0.333,-7,44,5.79,44,28.40,59,38.32,25,17.71,2.27,29,33.58
Incarnate Word,Southland,3-3,0.500,-11,45,5.79,51,27.38,10,50.04,94,4.96,2.27,43,30.38
TN Martin,OH Valley,3-4,0.429,+2,46,5.76,38,29.67,50,40.36,33,16.94,2.26,62,25.90
New Mexico St,FCS Indep,1-1,0.500,-8,47,5.75,31,31.53,20,45.16,48,14.00,2.32,67,23.33
Portland St,Big Sky,0-1,0.000,-19,48,5.74,35,30.76,21,45.00,53,13.38,2.23,2,49.72
W Illinois,Missouri Valley,1-5,0.167,-7,49,5.73,42,29.10,27,43.82,57,12.91,2.27,11,39.33
Stony Brook,Coastal,1-3,0.250,+1,50,5.73,47,28.06,70,36.39,15,19.30,2.27,30,33.29
Charleston So,Big South,2-2,0.500,+11,51,5.69,58,25.17,74,35.57,30,17.23,2.29,63,25.57
Southern Utah,Big Sky,1-5,0.167,-6,52,5.66,32,31.30,25,43.91,39,15.02,2.32,32,32.67
Tarleton St,FCS Indep,5-3,0.625,+6,53,5.64,52,26.85,51,40.35,44,14.13,2.13,80,16.49
Southern Univ,Southwestern AC,4-1,0.800,+6,54,5.63,59,25.13,49,40.53,63,12.23,2.22,91,12.34
Wofford,Southern,1-4,0.200,+1,55,5.62,28,31.70,37,42.12,32,17.20,2.14,52,28.66
Duquesne,Northeast,4-1,0.800,+12,56,5.61,67,21.68,69,36.41,58,12.89,2.17,87,14.26
Fordham,Patriot League,2-1,0.667,-3,57,5.59,62,23.57,48,40.66,71,10.54,2.25,71,21.60
Sacred Heart,Northeast,3-2,0.600,+6,58,5.58,61,23.63,63,37.17,45,14.09,2.17,76,19.43
SUNY Albany,Coastal,1-3,0.250,-10,59,5.57,48,27.93,55,39.86,37,15.70,2.20,53,28.37
New Hampshire,Coastal,0-1,0.000,-13,60,5.52,40,29.43,60,38.16,19,18.90,2.34,66,24.85
Abilene Chr,Southland,1-5,0.167,-4,61,5.46,53,26.23,42,41.32,60,12.53,2.21,25,34.48
Citadel,Southern,2-10,0.167,+1,62,5.45,57,25.33,62,37.98,40,14.98,2.18,33,32.49
Northwestern LA,Southland,1-5,0.167,-5,63,5.45,56,25.64,56,39.48,50,13.79,2.20,39,31.14
Houston Chr,Southland,1-3,0.250,-11,64,5.41,63,22.48,26,43.87,89,6.24,2.20,18,36.93
Lamar,Southland,2-4,0.333,+2,65,5.37,76,17.15,77,35.08,76,9.69,2.24,38,31.49
Tennessee Tech,OH Valley,2-5,0.286,,66,5.36,69,20.75,71,36.38,64,12.00,2.23,56,27.81
North Alabama,Big South,0-4,0.000,+2,67,5.35,60,23.84,61,38.01,52,13.45,2.23,3,46.38
Gardner Webb,Big South,2-2,0.500,+5,68,5.33,73,18.09,72,36.37,78,9.35,2.24,68,23.18
S Carolina St,Mid-Eastern AC,3-1,0.750,+9,69,5.32,78,16.94,89,30.50,46,14.07,2.22,93,11.51
Campbell,Big South,0-4,0.000,+6,70,5.26,65,21.96,46,40.93,80,8.66,2.14,1,52.66
Ark Pine Bluff,Southwestern AC,4-1,0.800,,71,5.26,84,14.22,67,36.83,93,5.02,2.13,86,15.04
Tennessee St,OH Valley,2-5,0.286,,72,5.26,74,17.29,78,34.87,74,10.04,2.22,57,27.79
Elon,Coastal,1-5,0.167,-8,73,5.24,64,22.30,64,37.15,59,12.78,2.18,50,28.73
Bucknell,Patriot League,2-2,0.500,,74,5.21,81,15.57,86,31.40,66,11.79,2.18,73,20.14
Lafayette,Patriot League,2-1,0.667,-5,75,5.20,80,15.67,82,32.88,72,10.41,2.21,84,15.44
San Diego,Pioneer,4-2,0.667,+6,76,5.19,70,19.72,75,35.50,65,11.84,2.14,101,6.82
Utah Tech,FCS Indep,2-3,0.400,+2,77,5.17,75,17.27,65,36.91,84,7.99,2.14,69,22.18
Prairie View,Southwestern AC,2-1,0.667,+2,78,5.11,77,17.00,80,34.35,73,10.28,2.14,94,10.41
E Illinois,OH Valley,1-5,0.167,-4,79,5.10,72,18.57,66,36.86,79,9.33,2.24,58,27.22
Cal Poly,Big Sky,0-3,0.000,-19,80,5.10,66,21.88,34,42.25,86,7.26,2.27,23,35.18
W Carolina,Southern,1-8,0.111,-5,81,5.04,79,16.40,73,35.99,83,8.04,2.28,34,32.25
Presbyterian,Pioneer,4-3,0.571,+5,82,5.03,86,13.24,83,32.25,82,8.62,2.30,92,11.98
Davidson,Pioneer,4-3,0.571,+2,83,5.02,91,11.16,79,34.40,95,4.39,2.10,83,15.76
Colgate,Patriot League,0-2,0.000,-3,84,4.88,71,18.97,81,33.41,55,13.18,2.17,70,21.74
Bryant,Northeast,2-2,0.500,+4,85,4.86,87,12.71,94,29.24,70,11.10,2.22,97,9.79
Robert Morris,FCS Indep,0-3,0.000,-3,86,4.86,85,14.21,84,32.22,77,9.62,2.19,12,38.73
Valparaiso,Pioneer,4-2,0.667,+5,87,4.85,96,5.27,98,26.31,87,6.59,2.26,96,10.03
Alabama St,Southwestern AC,2-3,0.400,,88,4.80,88,12.06,88,31.06,81,8.63,2.15,90,12.42
LIU Post,Northeast,2-2,0.500,+6,89,4.79,94,8.04,91,30.04,91,5.62,2.21,85,15.21
Jackson St,Southwestern AC,3-3,0.500,-6,90,4.78,89,12.05,68,36.48,97,3.20,2.21,98,8.77
Drake,Pioneer,2-3,0.400,,91,4.74,82,14.98,95,28.93,51,13.67,2.13,102,5.82
Delaware St,Mid-Eastern AC,2-3,0.400,-2,92,4.72,93,8.63,90,30.37,90,5.88,2.26,82,15.77
Lehigh,Patriot League,0-3,0.000,-7,93,4.70,83,14.62,96,27.68,41,14.56,2.26,72,20.76
Morehead St,Pioneer,4-3,0.571,+2,94,4.67,95,5.88,92,29.97,96,3.54,2.22,100,8.10
Wagner,Northeast,0-2,0.000,-2,95,4.49,92,9.57,97,27.31,75,9.88,2.24,75,19.87
Grambling,Southwestern AC,0-4,0.000,+1,96,4.36,90,11.71,85,31.79,85,7.56,2.24,81,16.42
TX Southern,Southwestern AC,0-2,0.000,-3,97,4.16,98,4.71,87,31.20,101,1.14,2.23,74,20.03
Merrimack,Northeast,0-3,0.000,+2,98,4.11,99,3.58,99,26.00,92,5.21,2.17,78,17.04
Howard,Mid-Eastern AC,0-2,0.000,-1,99,4.02,97,4.89,93,29.51,98,3.01,2.23,99,8.76
Stetson,Pioneer,0-4,0.000,+1,100,3.87,100,-0.21,101,24.50,99,2.92,2.23,89,13.40
MS Valley St,Southwestern AC,0-3,0.000,-2,101,3.81,102,-2.11,102,23.94,100,1.58,2.18,88,13.93
Butler,Pioneer,0-6,0.000,,102,3.71,101,-1.43,100,25.79,102,0.40,2.18,95,10.13
