Team,,Record,,&Delta;,Rat,,Pwr,,Off,,Def,,HFA,SoS,
Pomona-Pitzer,Southern Cal IAC,8-3,0.727,+3,87,3.01,95,-17.66,84,18.68,106,-9.12,2.21,143,-24.26
Wabash,North Coast AC,7-3,0.700,+1,88,3.01,91,-16.97,33,27.05,166,-16.80,2.23,112,-20.96
Chapman,Southern Cal IAC,7-3,0.700,+2,89,3.00,82,-14.89,44,23.77,127,-11.45,2.30,142,-24.17
Chris Newport,New Jersey A.C.,7-3,0.700,+2,90,2.99,100,-18.33,120,15.54,88,-6.66,2.23,128,-22.86
Lake Forest,Midwest,9-2,0.818,-4,91,2.99,97,-17.81,125,14.23,77,-4.82,2.19,187,-32.56
IL Wesleyan,Ill & Wisc,6-4,0.600,-4,92,2.98,96,-17.73,83,18.77,110,-9.29,2.24,78,-17.21
Rose-Hulman,Heartland CAC,6-4,0.600,+1,93,2.94,80,-14.02,51,22.34,107,-9.15,2.17,144,-24.44
Augustana IL,Ill & Wisc,5-5,0.500,-1,94,2.94,83,-14.97,45,23.63,126,-11.38,2.14,72,-16.55
King's PA,Mid Atlantic,8-3,0.727,,95,2.92,118,-22.18,126,14.11,105,-9.08,2.20,129,-22.95
Rowan,New Jersey A.C.,7-3,0.700,+1,96,2.91,109,-19.70,116,15.81,99,-8.30,2.19,139,-23.82
Wilkes,Mid Atlantic,7-3,0.700,+1,97,2.86,108,-19.61,112,16.11,100,-8.51,2.23,149,-25.49
Ohio Wesleyan,North Coast AC,6-4,0.600,+2,98,2.85,89,-16.66,107,16.47,83,-5.91,2.25,147,-25.20
Loras,American Rivers,5-5,0.500,-3,99,2.85,94,-17.35,71,19.97,116,-10.10,2.24,92,-18.32
TX Lutheran,American SW,4-6,0.400,-1,100,2.85,93,-17.22,76,19.33,111,-9.34,2.30,57,-14.23
Pacific OR,Northwest,5-4,0.556,+2,101,2.83,105,-19.19,114,16.04,97,-8.02,2.22,114,-21.15
Carroll WI,Ill & Wisc,6-4,0.600,-1,102,2.81,113,-20.84,94,17.73,125,-11.36,2.27,102,-19.35
Hampden-Sydney,Old Dominion AC,5-5,0.500,+2,103,2.80,99,-18.20,64,20.97,132,-11.95,2.25,106,-19.69
Sul Ross,American SW,4-6,0.400,,104,2.80,110,-20.02,60,21.38,151,-14.18,2.21,39,-11.59
Dickinson,Centennial,3-7,0.300,+1,105,2.79,92,-17.05,127,14.01,70,-3.84,2.27,54,-14.01
Ripon,Midwest,9-1,0.900,-4,106,2.77,135,-25.36,131,13.89,133,-12.03,2.26,198,-35.31
Pac Lutheran,Northwest,6-4,0.600,+2,107,2.77,117,-22.00,154,10.40,79,-5.18,2.25,130,-22.99
Olivet MI,Michigan IAA,5-5,0.500,,108,2.76,98,-17.83,67,20.68,124,-11.30,2.16,116,-21.37
Redlands,Southern Cal IAC,4-6,0.400,+1,109,2.75,90,-16.81,93,17.78,92,-7.37,2.25,101,-19.32
WI Eau Claire,Wisconsin IAC,2-8,0.200,-3,110,2.75,104,-18.99,62,21.03,139,-12.80,2.23,25,-5.60
Maryville TN,USA South,5-5,0.500,+1,111,2.72,103,-18.89,86,18.34,115,-10.01,2.24,125,-22.18
St Vincent,Presidents' AC,5-5,0.500,-1,112,2.71,112,-20.78,75,19.57,142,-13.13,2.22,104,-19.57
Rhodes,SAA,5-5,0.500,+1,113,2.68,123,-23.42,163,9.47,80,-5.67,2.23,109,-20.48
Augsburg,Minnesota IAC,6-4,0.600,-1,114,2.67,119,-22.44,95,17.55,138,-12.78,2.23,135,-23.65
Merchant Marine,NE W&M,6-3,0.667,+2,115,2.66,111,-20.24,110,16.19,108,-9.21,2.10,175,-29.56
Lycoming,Mid Atlantic,4-6,0.400,+2,116,2.61,107,-19.56,132,13.87,84,-6.22,2.21,117,-21.41
St Norbert,Northern Athletic,7-3,0.700,-1,117,2.61,116,-21.91,167,9.09,68,-3.78,2.20,193,-34.35
Wittenberg,North Coast AC,5-5,0.500,+1,118,2.61,106,-19.39,98,17.31,113,-9.49,2.17,153,-25.63
Chicago,Midwest,7-3,0.700,-4,119,2.61,101,-18.40,101,16.89,98,-8.07,2.20,208,-37.67
St Lawrence,Liberty League,4-6,0.400,,120,2.60,115,-21.83,138,13.16,94,-7.77,2.29,103,-19.36
FDU Madison,Mid Atlantic,6-5,0.545,,121,2.58,128,-24.39,148,11.71,104,-8.89,2.13,138,-23.81
Lebanon Val,Mid Atlantic,5-6,0.455,,122,2.55,121,-23.37,128,13.98,117,-10.13,2.20,121,-21.99
St John Fisher,Empire 8,4-6,0.400,,123,2.52,127,-24.38,140,12.65,114,-9.81,2.28,100,-19.28
Brevard,USA South,5-5,0.500,,124,2.51,137,-26.04,175,8.22,90,-7.04,2.19,140,-23.89
Kean,New Jersey A.C.,3-7,0.300,+1,125,2.50,122,-23.40,176,8.17,73,-4.35,2.21,96,-18.69
Hendrix,SAA,3-7,0.300,+1,126,2.46,124,-23.80,122,14.61,122,-11.19,2.25,66,-16.02
Hanover,Heartland CAC,5-5,0.500,+1,127,2.46,114,-21.43,104,16.86,121,-11.08,2.15,170,-28.21
Benedictine IL,Northern Athletic,7-3,0.700,-3,128,2.44,126,-24.22,89,18.15,155,-15.15,2.24,192,-33.98
Catholic,NE W&M,6-5,0.545,+1,129,2.44,140,-26.84,133,13.86,145,-13.48,2.24,146,-25.05
Otterbein,Ohio AC,2-8,0.200,+1,130,2.42,130,-25.10,119,15.59,144,-13.48,2.25,36,-10.64
SW Univ TX,American SW,3-7,0.300,+2,131,2.41,129,-25.02,97,17.36,157,-15.16,2.30,68,-16.28
Wilmington OH,Ohio AC,3-7,0.300,,132,2.41,142,-27.58,137,13.47,147,-13.84,2.29,48,-13.28
Methodist,USA South,5-5,0.500,+1,133,2.41,133,-25.18,100,17.19,156,-15.16,2.24,152,-25.63
St Olaf,Minnesota IAC,4-6,0.400,-5,134,2.40,132,-25.16,108,16.37,152,-14.31,2.27,110,-20.58
MA Dartmouth,MASCAC,9-2,0.818,+2,135,2.39,141,-27.56,103,16.86,172,-17.21,2.27,206,-37.38
College of NJ,New Jersey A.C.,3-6,0.333,-1,136,2.38,139,-26.12,150,11.62,118,-10.52,2.19,94,-18.50
W New England,Commonwealth Coast,4-6,0.400,+1,137,2.35,120,-22.70,135,13.74,109,-9.23,2.32,164,-27.22
Averett,Old Dominion AC,3-7,0.300,+1,138,2.33,143,-27.90,155,9.96,119,-10.65,2.24,81,-17.54
Carthage,Ill & Wisc,3-7,0.300,-3,139,2.33,138,-26.05,109,16.22,154,-15.05,2.24,74,-16.94
Widener,Mid Atlantic,3-7,0.300,,140,2.30,131,-25.11,134,13.78,131,-11.67,2.22,115,-21.21
Wm Paterson,New Jersey A.C.,5-5,0.500,,141,2.29,159,-31.42,211,4.54,102,-8.74,2.21,154,-25.77
Moravian,Centennial,3-7,0.300,,142,2.24,146,-28.92,156,9.92,129,-11.62,2.33,90,-18.08
Wooster,North Coast AC,6-4,0.600,+1,143,2.24,149,-30.17,123,14.50,175,-17.46,2.30,178,-30.31
Salve Regina,Commonwealth Coast,6-4,0.600,+1,144,2.24,152,-30.76,162,9.51,141,-13.06,2.26,179,-30.49
Geneva,Presidents' AC,3-7,0.300,-2,145,2.21,134,-25.35,118,15.63,146,-13.77,2.23,126,-22.40
Millikin,Ill & Wisc,4-6,0.400,,146,2.19,156,-31.13,170,8.64,136,-12.55,2.30,120,-21.97
Montclair St,New Jersey A.C.,2-8,0.200,+2,147,2.17,125,-23.97,181,7.80,75,-4.55,2.27,137,-23.71
Millsaps,SAA,3-7,0.300,,148,2.16,163,-32.38,142,12.44,177,-17.60,2.26,69,-16.45
McDaniel,Centennial,3-7,0.300,+1,149,2.16,161,-31.86,190,6.98,130,-11.62,2.23,91,-18.26
Buena Vista,American Rivers,4-6,0.400,-3,150,2.15,158,-31.21,115,16.03,185,-20.02,2.22,119,-21.93
Rochester NY,Liberty League,3-7,0.300,+2,151,2.12,157,-31.15,177,8.11,134,-12.05,2.19,108,-19.85
McMurry,American SW,1-9,0.100,,152,2.12,136,-26.00,147,11.90,120,-10.69,2.24,60,-15.02
Worcester Tech,NE W&M,4-6,0.400,+1,153,2.11,154,-30.87,168,9.06,137,-12.72,2.22,155,-25.82
Waynesburg,Presidents' AC,4-6,0.400,-3,154,2.11,153,-30.85,139,12.97,164,-16.60,2.33,141,-24.14
Alfred,Empire 8,2-8,0.200,+1,155,2.11,147,-29.44,164,9.39,128,-11.61,2.26,79,-17.25
Plymouth St,MASCAC,9-2,0.818,+1,156,2.10,174,-35.94,192,6.69,159,-15.41,2.20,216,-41.64
Concordia WI,Northern Athletic,8-3,0.727,-2,157,2.06,176,-36.09,179,7.96,168,-16.84,2.28,205,-36.94
Bridgewater MA,MASCAC,7-4,0.636,,158,2.03,162,-32.12,149,11.65,163,-16.55,2.27,207,-37.47
Franklin,Heartland CAC,4-6,0.400,+1,159,1.99,160,-31.85,157,9.87,153,-14.50,2.15,176,-29.57
Austin Col,American SW,1-9,0.100,-1,160,1.98,148,-29.51,169,8.91,123,-11.21,2.28,65,-16.01
Ferrum,Old Dominion AC,1-9,0.100,+1,161,1.96,144,-28.12,146,11.95,140,-12.86,2.20,88,-17.99
Allegheny,Presidents' AC,3-7,0.300,-1,162,1.95,165,-33.57,145,12.20,180,-18.55,2.25,123,-22.10
Cal Lutheran,Southern Cal IAC,3-7,0.300,+1,163,1.95,150,-30.54,143,12.39,162,-15.72,2.33,163,-26.88
Macalester,Minnesota IAC,5-5,0.500,-1,164,1.93,169,-34.28,129,13.97,190,-21.03,2.26,180,-31.16
NC Wesleyan,USA South,3-7,0.300,+1,165,1.92,171,-35.09,197,6.23,150,-14.10,2.25,133,-23.27
Husson,Commonwealth Coast,5-6,0.455,+2,166,1.91,168,-34.24,205,5.16,135,-12.19,2.26,185,-32.36
WI Stevens Pt,Wisconsin IAC,1-9,0.100,-2,167,1.90,151,-30.59,144,12.26,161,-15.64,2.29,55,-14.06
MIT,NE W&M,3-6,0.333,+1,168,1.88,155,-30.89,204,5.20,103,-8.88,2.21,186,-32.37
Illinois Col,Midwest,5-4,0.556,-2,169,1.86,173,-35.40,174,8.49,165,-16.67,2.30,204,-36.83
W Connecticut,MASCAC,7-3,0.700,,170,1.84,182,-38.02,166,9.23,186,-20.04,2.22,214,-40.67
Framingham St,MASCAC,5-5,0.500,+3,171,1.82,167,-33.68,191,6.70,143,-13.17,2.31,211,-38.19
Guilford,Old Dominion AC,2-8,0.200,,172,1.82,164,-33.47,141,12.60,183,-18.86,2.29,118,-21.82
Misericordia,Mid Atlantic,3-7,0.300,-2,173,1.81,178,-36.56,210,4.59,148,-13.94,2.20,150,-25.57
U New England,Commonwealth Coast,5-5,0.500,+1,174,1.80,183,-38.39,201,5.99,171,-17.17,2.22,188,-32.64
Capital,Ohio AC,0-10,0.000,-2,175,1.80,145,-28.87,117,15.74,174,-17.39,2.26,43,-11.93
Norwich,NE W&M,3-7,0.300,,176,1.78,177,-36.43,195,6.25,160,-15.47,2.18,162,-26.77
Lewis & Clark,Northwest,4-5,0.444,,177,1.78,172,-35.26,96,17.54,219,-25.58,2.19,181,-31.18
Gettysburg,Centennial,1-9,0.100,,178,1.76,166,-33.63,153,10.60,170,-17.02,2.28,82,-17.57
Alvernia,Mid Atlantic,3-7,0.300,,179,1.63,192,-41.57,198,6.13,188,-20.49,2.18,158,-26.07
Kalamazoo,Michigan IAA,3-7,0.300,+1,180,1.58,189,-40.14,186,7.40,187,-20.33,2.28,172,-28.29
Hartwick,Empire 8,2-8,0.200,+1,181,1.55,186,-38.94,200,6.07,178,-17.80,2.27,156,-25.98
Coast Guard,NE W&M,3-7,0.300,+1,182,1.53,181,-37.88,182,7.74,179,-18.40,2.22,190,-33.27
Lakeland,Northern Athletic,3-7,0.300,-3,183,1.53,170,-34.94,151,11.03,182,-18.76,2.25,199,-35.55
North Park,Ill & Wisc,1-9,0.100,,184,1.50,175,-36.09,158,9.81,181,-18.68,2.24,136,-23.66
Gallaudet,East Coast,7-3,0.700,+4,185,1.46,209,-46.39,209,4.80,205,-23.97,2.28,224,-43.78
Sewanee,SAA,2-8,0.200,+1,186,1.45,188,-39.88,172,8.51,191,-21.17,2.21,161,-26.69
Greenville,Upper Midwest,7-3,0.700,+1,187,1.43,195,-42.34,165,9.28,209,-24.40,2.20,234,-49.43
Northwestern MN,Upper Midwest,6-5,0.545,-2,188,1.42,199,-43.30,208,4.84,189,-20.92,2.17,218,-41.99
WI Lutheran,Northern Athletic,4-6,0.400,-4,189,1.42,197,-42.99,159,9.63,218,-25.40,2.25,194,-34.89
La Verne,Southern Cal IAC,2-8,0.200,+4,190,1.36,194,-42.16,188,7.24,196,-22.19,2.29,166,-27.53
Kenyon,North Coast AC,3-7,0.300,+2,191,1.35,196,-42.72,171,8.54,206,-24.04,2.24,191,-33.36
NE Wesleyan,American Rivers,1-9,0.100,-2,192,1.35,179,-36.70,130,13.91,203,-23.40,2.28,165,-27.37
Elmhurst,Ill & Wisc,0-10,0.000,-2,193,1.35,180,-37.78,196,6.24,167,-16.80,2.32,89,-18.07
S Virginia,USA South,1-9,0.100,+1,194,1.32,185,-38.69,173,8.49,184,-19.97,2.28,169,-27.79
Castleton,East Coast,5-5,0.500,+2,195,1.32,198,-43.05,221,1.73,176,-17.57,2.25,227,-45.39
Simpson IA,American Rivers,1-9,0.100,-4,196,1.31,184,-38.61,136,13.56,214,-24.95,2.28,151,-25.57
Bethany WV,Presidents' AC,1-9,0.100,+1,197,1.28,190,-40.65,214,3.84,173,-17.28,2.26,159,-26.35
Luther IA,American Rivers,2-8,0.200,-2,198,1.26,202,-44.01,161,9.53,221,-26.33,2.35,171,-28.22
Buffalo St,Liberty League,0-10,0.000,,199,1.25,191,-41.27,180,7.86,194,-21.92,2.27,52,-13.73
LaGrange,USA South,1-8,0.111,,200,1.24,193,-42.14,160,9.59,210,-24.52,2.28,160,-26.36
Nichols,Commonwealth Coast,4-6,0.400,,201,1.24,207,-46.07,178,8.03,223,-26.88,2.25,212,-38.64
Curry,Commonwealth Coast,3-7,0.300,,202,1.21,201,-43.88,199,6.11,199,-22.77,2.28,209,-37.91
Anna Maria,East Coast,5-4,0.556,+1,203,1.20,206,-46.02,189,7.23,220,-26.03,2.20,230,-45.97
Alfred St,East Coast,5-5,0.500,-1,204,1.19,210,-46.54,207,4.89,208,-24.21,2.19,226,-44.75
Albright,Mid Atlantic,0-10,0.000,+2,205,1.16,187,-39.14,206,4.92,169,-16.85,2.25,157,-26.01
Hamline,Minnesota IAC,2-8,0.200,-1,206,1.13,200,-43.39,202,5.61,193,-21.79,2.22,195,-34.95
Knox,Midwest,5-5,0.500,-1,207,1.11,215,-48.47,223,0.72,195,-21.98,2.24,228,-45.66
Puget Sound,Northwest,1-8,0.111,+2,208,1.10,203,-44.31,185,7.56,212,-24.66,2.41,173,-28.42
Thiel,Presidents' AC,1-9,0.100,-1,209,1.10,212,-47.16,215,3.30,202,-23.25,2.25,131,-23.08
Bluffton,Heartland CAC,2-8,0.200,+2,210,1.07,204,-45.24,187,7.37,217,-25.39,2.25,196,-35.24
St Scholastica,Minnesota IAC,3-7,0.300,-2,211,1.06,213,-48.22,183,7.67,226,-28.67,2.30,202,-35.99
Hiram,North Coast AC,2-8,0.200,+1,212,1.04,205,-45.34,194,6.48,211,-24.61,2.18,201,-35.78
Eureka,Northern Athletic,2-8,0.200,-2,213,1.03,211,-46.61,216,3.13,197,-22.52,2.19,200,-35.77
MA Maritime,MASCAC,3-7,0.300,+2,214,1.00,214,-48.46,235,-5.85,158,-15.40,2.22,223,-43.64
Defiance,Heartland CAC,3-7,0.300,-1,215,1.00,218,-49.47,203,5.37,225,-27.63,2.31,210,-37.91
Willamette,Northwest,2-8,0.200,-1,216,0.99,216,-48.83,222,1.52,200,-23.13,2.34,189,-32.66
Concordia IL,Northern Athletic,3-7,0.300,,217,0.93,222,-50.91,226,-0.16,204,-23.53,2.33,213,-39.94
Juniata,Centennial,0-10,0.000,+1,218,0.88,208,-46.29,184,7.66,222,-26.74,2.27,111,-20.75
Cornell IA,Midwest,3-7,0.300,-1,219,0.87,219,-49.91,220,2.00,213,-24.69,2.21,217,-41.85
SUNY Maritime,East Coast,3-7,0.300,,220,0.85,223,-50.93,227,-0.97,198,-22.75,2.34,221,-43.37
Greensboro,USA South,1-9,0.100,,221,0.83,221,-50.10,213,4.11,224,-27.00,2.21,182,-31.21
Westfield St,MASCAC,2-8,0.200,+1,222,0.81,220,-49.93,228,-1.18,192,-21.53,2.23,215,-41.39
MN Morris,Upper Midwest,5-5,0.500,-1,223,0.77,224,-52.57,225,0.02,216,-25.38,2.24,240,-52.92
Manchester,Heartland CAC,1-9,0.100,,224,0.76,217,-49.00,218,2.26,207,-24.05,2.25,203,-36.32
Keystone,East Coast,3-7,0.300,,225,0.67,226,-54.52,193,6.67,233,-33.97,2.19,222,-43.46
Anderson IN,Heartland CAC,1-9,0.100,,226,0.62,227,-55.28,230,-2.74,215,-25.33,2.26,183,-32.17
Martin Luther,Upper Midwest,2-8,0.200,,227,0.47,225,-54.07,231,-3.70,201,-23.16,2.32,232,-48.28
Worcester St,MASCAC,1-9,0.100,,228,0.32,228,-55.69,217,2.95,230,-31.42,2.23,220,-42.65
Rockford,Northern Athletic,1-9,0.100,,229,0.22,231,-57.61,212,4.21,235,-34.61,2.34,225,-43.95
