Team,,Record,,&Delta;,Rat,,Pwr,,Off,,Def,,HFA,SoS,
Bowie St,Central IAA,12-2,0.857,+18,21,5.57,40,20.19,58,34.08,21,13.58,2.24,75,8.13
Fort Hays St,Mid America IAA,5-6,0.455,-6,22,5.57,11,29.63,24,39.92,10,17.18,2.16,8,22.32
Notre Dame OH,Mountain East,11-2,0.846,+9,23,5.53,23,23.20,17,40.98,42,9.69,2.10,76,7.88
Western St CO,Rocky Mtn AC,10-2,0.833,-2,24,5.53,34,20.93,45,35.91,25,12.50,2.18,56,12.06
Albany GA,Southern IAC,10-2,0.833,+5,25,5.52,28,22.57,91,29.72,3,20.33,2.09,90,5.38
Newberry,South Atlantic,10-3,0.769,+3,26,5.52,33,21.30,61,33.72,14,15.05,2.13,60,11.33
SE Oklahoma,Great American,9-3,0.750,,27,5.50,37,20.75,30,38.40,41,9.82,2.17,36,15.28
Saginaw Val,Great Lakes IAC,7-4,0.636,-7,28,5.47,27,22.66,33,38.03,28,12.10,2.14,21,18.76
MO Western,Mid America IAA,6-5,0.545,-10,29,5.46,22,23.47,13,42.41,50,8.53,2.15,12,21.86
West Alabama,Gulf South,7-4,0.636,-5,30,5.45,19,24.19,25,39.45,27,12.21,2.09,32,15.89
Lenoir-Rhyne,South Atlantic,8-3,0.727,,31,5.43,17,25.93,21,40.76,24,12.64,2.08,62,10.84
CSU-Pueblo,Rocky Mtn AC,6-5,0.545,+3,32,5.42,18,24.31,52,34.89,11,16.90,2.16,30,17.51
Emporia St,Mid America IAA,6-6,0.500,-10,33,5.38,25,23.01,19,40.95,46,9.53,2.17,11,21.96
Truman St,Great Lakes Val,9-3,0.750,+4,34,5.37,39,20.20,44,36.11,30,11.56,2.04,64,10.63
Michigan Tech,Great Lakes IAC,6-4,0.600,-9,35,5.36,42,19.48,81,30.69,12,16.26,2.14,24,18.10
W Texas A&M,Lone Star,7-4,0.636,-8,36,5.35,31,21.64,34,37.98,33,11.13,2.16,40,14.62
Tiffin,Great Midwest,8-3,0.727,+7,37,5.33,35,20.78,36,37.23,34,11.03,2.16,63,10.75
Frostburg St,Mountain East,10-1,0.909,+7,38,5.30,49,17.39,37,37.12,54,7.74,2.04,106,2.22
Kutztown,Penn St AC,11-2,0.846,+16,39,5.28,54,15.74,99,28.80,18,14.41,2.12,93,4.94
Findlay,Great Midwest,8-4,0.667,+8,40,5.26,41,19.57,35,37.47,45,9.57,2.10,48,13.00
OK Baptist,Great American,8-4,0.667,,41,5.24,48,17.70,22,40.76,80,4.41,2.09,38,14.72
California PA,Penn St AC,9-1,0.900,+7,42,5.23,51,16.77,60,33.74,37,10.50,2.14,117,0.40
Indianapolis,Great Lakes Val,7-4,0.636,+4,43,5.23,24,23.09,26,38.58,29,11.99,2.14,65,10.32
C Oklahoma,Mid America IAA,4-7,0.364,-11,44,5.23,30,22.08,41,36.49,23,13.06,2.18,9,22.13
Chadron St,Rocky Mtn AC,6-5,0.545,-8,45,5.21,38,20.70,27,38.56,44,9.61,2.13,33,15.61
Slippery Rock,Penn St AC,9-3,0.750,,46,5.18,43,19.46,23,40.50,65,6.43,2.07,81,7.61
Delta St,Gulf South,5-6,0.455,-11,47,5.17,44,19.13,39,36.67,39,9.93,2.23,15,20.07
Wingate,South Atlantic,7-3,0.700,+4,48,5.11,50,17.20,38,36.67,52,8.00,2.09,70,9.21
C Missouri,Mid America IAA,4-7,0.364,-9,49,5.11,36,20.77,16,41.37,58,6.88,2.25,14,21.06
North Greenville,Gulf South,5-6,0.455,-8,50,5.10,47,17.79,50,35.16,38,10.10,2.11,22,18.41
Indiana PA,Penn St AC,7-3,0.700,+9,51,5.06,46,18.04,28,38.47,57,7.04,2.02,80,7.68
Charleston WV,Mountain East,8-2,0.800,+2,52,5.05,52,16.40,53,34.80,48,9.07,2.17,111,1.39
New Haven,Northeast-10,10-2,0.833,+22,53,5.03,57,14.23,82,30.46,32,11.24,2.12,119,0.00
OH Dominican,Great Midwest,7-4,0.636,+7,54,5.02,56,14.63,74,31.37,35,10.74,2.19,71,9.06
Ashland,Great Midwest,5-5,0.500,-4,55,4.99,45,18.85,42,36.45,40,9.87,2.24,47,13.01
Mississippi Col,Gulf South,4-6,0.400,-13,56,4.99,55,15.30,56,34.19,49,8.59,2.14,19,19.23
East Central OK,Great American,7-4,0.636,-7,57,4.99,62,11.82,66,32.75,63,6.55,2.16,42,13.52
Mars Hill,South Atlantic,8-3,0.727,-1,58,4.97,61,12.53,64,33.27,60,6.73,2.13,84,7.15
Permian Basin,Lone Star,5-6,0.455,-6,59,4.88,59,13.17,76,31.31,47,9.34,2.18,35,15.44
TX A&M K'ville,Lone Star,5-5,0.500,-2,60,4.85,65,10.84,73,31.44,59,6.87,2.15,39,14.63
Hillsdale,Great Midwest,6-6,0.500,+8,61,4.84,63,11.58,72,31.90,55,7.15,2.13,49,12.98
Savannah St,Southern IAC,8-2,0.800,+8,62,4.83,66,10.80,88,30.00,51,8.27,2.29,123,-0.24
Shippensburg,Penn St AC,9-2,0.818,+10,63,4.75,76,8.37,78,31.21,76,4.64,2.13,120,-0.15
Bentley,Northeast-10,9-2,0.818,+27,64,4.74,79,7.44,80,31.02,84,3.89,2.20,107,1.61
S Dakota Tech,Rocky Mtn AC,6-5,0.545,+7,65,4.72,70,9.33,75,31.32,68,5.49,2.20,67,9.83
Augustana SD,Northern Sun,9-3,0.750,-10,66,4.71,67,10.67,63,33.29,74,4.85,2.08,114,0.88
Tusculum,South Atlantic,5-6,0.455,+4,67,4.65,58,13.84,46,35.86,69,5.45,2.14,79,7.71
MN Duluth,Northern Sun,9-3,0.750,-1,68,4.64,78,7.49,71,31.95,92,3.01,2.15,110,1.39
Bemidji St,Northern Sun,10-3,0.769,-4,69,4.64,89,4.72,62,33.31,124,-1.12,2.06,103,2.32
MO Southern,Mid America IAA,3-8,0.273,-11,70,4.59,73,8.94,77,31.28,71,5.13,2.19,16,19.64
Sioux Falls,Northern Sun,8-3,0.727,-7,70,4.59,71,9.27,84,30.32,64,6.43,2.07,137,-2.27
Stonehill,Northeast-10,8-2,0.800,+27,72,4.57,82,7.03,105,27.83,61,6.68,2.17,147,-4.18
S Arkansas,Great American,4-7,0.364,+4,73,4.57,64,11.24,43,36.35,97,2.37,2.21,44,13.22
Arkansas Tech,Great American,4-7,0.364,+2,74,4.57,68,10.31,65,32.88,73,4.90,2.21,46,13.03
W Oregon,Great Northwest,4-6,0.400,+3,75,4.57,74,8.49,90,29.79,66,6.18,2.12,52,12.66
NM Highlands,Rocky Mtn AC,5-6,0.455,-10,76,4.56,75,8.45,49,35.49,108,0.43,2.15,55,12.11
MN Mankato,Northern Sun,6-5,0.545,-15,77,4.56,53,16.18,31,38.31,70,5.34,2.08,115,0.85
N Michigan,Great Lakes IAC,4-7,0.364,-10,78,4.54,72,9.27,94,29.60,56,7.14,2.22,50,12.74
Fayetteville St,Central IAA,8-2,0.800,+10,79,4.54,83,6.39,108,27.20,62,6.66,2.16,156,-7.05
Missouri S&T,Great Lakes Val,6-5,0.545,+3,80,4.54,77,7.53,48,35.60,122,-0.60,2.20,86,6.32
Ark Monticello,Great American,5-6,0.455,-2,81,4.53,87,5.41,86,30.28,94,2.60,2.17,51,12.71
Davenport,Great Lakes IAC,3-8,0.273,-8,82,4.52,85,6.19,128,23.11,36,10.55,2.10,25,17.97
Wayne St MI,Great Lakes IAC,2-9,0.182,-19,83,4.52,60,13.13,54,34.64,67,5.96,2.14,29,17.52
West Chester,Penn St AC,6-5,0.545,+4,84,4.49,69,9.35,59,33.81,91,3.01,2.07,95,3.64
Chowan,Central IAA,7-3,0.700,+2,85,4.48,80,7.35,51,35.08,115,-0.26,2.24,127,-0.71
Barton,South Atlantic,6-5,0.545,-2,86,4.47,84,6.20,79,31.20,96,2.48,2.15,88,5.64
UVA-Wise,South Atlantic,5-6,0.455,-2,87,4.39,91,3.97,89,29.82,101,1.63,2.16,72,8.74
Virginia Union,Central IAA,6-4,0.600,+9,88,4.38,86,5.47,100,28.50,79,4.44,2.10,118,0.24
Miles,Southern IAC,6-5,0.545,+4,89,4.37,88,5.04,102,28.14,81,4.38,2.18,97,3.24
Catawba,South Atlantic,5-4,0.556,,90,4.37,96,2.61,115,25.26,75,4.82,2.24,92,5.04
E New Mexico,Lone Star,4-7,0.364,-10,91,4.36,81,7.18,55,34.53,113,0.12,2.12,68,9.77
Winona St,Northern Sun,7-4,0.636,-10,92,4.35,90,4.36,103,28.05,85,3.79,2.19,131,-1.22
NC Pembroke,Mountain East,5-5,0.500,+3,93,4.33,93,3.78,97,29.00,98,2.26,2.13,91,5.06
Wayne St NE,Northern Sun,7-4,0.636,-14,94,4.23,103,0.91,98,28.97,121,-0.58,2.16,128,-0.74
WV State,Mountain East,6-5,0.545,+6,95,4.21,100,1.29,104,27.98,105,0.78,2.10,113,0.95
Assumption,Northeast-10,5-5,0.500,+30,96,4.17,92,3.86,92,29.66,100,1.68,2.26,112,1.13
Kentucky St,Southern IAC,7-4,0.636,+5,97,4.15,97,2.41,83,30.37,119,-0.48,2.12,150,-4.56
Shorter,Gulf South,3-8,0.273,-6,98,4.14,99,1.72,113,25.71,88,3.48,2.15,61,11.32
McKendree,Great Lakes Val,4-7,0.364,-1,99,4.14,95,3.31,68,32.56,129,-1.77,2.21,87,6.03
Fairmont St,Mountain East,5-6,0.455,+9,100,4.11,101,1.17,107,27.21,102,1.43,2.14,100,2.79
SW Baptist,Great Lakes Val,4-7,0.364,-6,101,4.10,104,0.75,57,34.09,138,-5.87,2.26,82,7.59
Gannon,Penn St AC,5-6,0.455,+4,102,4.08,115,-2.05,112,25.78,117,-0.36,2.15,96,3.52
E Stroudsburg,Penn St AC,5-6,0.455,+4,103,4.07,102,0.92,123,23.83,77,4.57,2.12,116,0.50
Northern St SD,Northern Sun,7-4,0.636,-18,104,4.06,110,-0.73,69,32.20,137,-5.46,2.13,143,-3.11
Edinboro,Penn St AC,4-6,0.400,+5,105,4.05,106,0.33,122,24.12,86,3.68,2.15,101,2.70
Black Hills St,Rocky Mtn AC,4-7,0.364,-6,106,4.04,109,-0.51,101,28.18,125,-1.22,2.29,85,6.74
Seton Hill,Penn St AC,5-6,0.455,+1,107,4.03,114,-2.04,139,20.41,72,5.02,2.08,109,1.44
KY Wesleyan,Great Midwest,3-8,0.273,-5,108,4.02,108,-0.32,111,26.05,103,1.10,2.14,73,8.62
Wheeling,Mountain East,5-6,0.455,+7,109,4.01,111,-1.05,125,23.56,93,2.87,2.14,121,-0.21
Virginia St,Central IAA,3-6,0.333,+17,110,3.99,98,2.03,110,26.33,89,3.17,2.13,104,2.32
Shaw NC,Central IAA,6-4,0.600,+4,111,3.99,107,-0.31,127,23.14,83,4.02,2.16,162,-8.35
Morehouse,Southern IAC,4-6,0.400,+8,112,3.97,112,-1.32,121,24.34,99,1.81,2.21,94,3.66
Lake Erie,Great Midwest,5-6,0.455,+5,113,3.97,125,-4.54,130,22.86,114,0.08,2.12,99,3.19
Mercyhurst,Penn St AC,4-7,0.364,+7,114,3.95,117,-2.35,137,20.65,78,4.48,2.10,102,2.56
Fort Valley St,Southern IAC,5-5,0.500,+8,115,3.89,118,-2.44,119,24.55,107,0.48,2.12,141,-2.64
Benedict,Southern IAC,5-5,0.500,+9,116,3.87,124,-3.64,124,23.57,111,0.27,2.11,142,-2.72
Northwood MI,Great Lakes IAC,1-9,0.100,-23,117,3.85,105,0.73,93,29.61,127,-1.41,2.19,41,14.33
Quincy,Great Lakes Val,4-7,0.364,-1,118,3.81,123,-3.13,67,32.73,149,-8.38,2.17,105,2.31
NW Oklahoma St,Great American,2-9,0.182,-7,119,3.80,116,-2.30,87,30.14,134,-4.96,2.30,66,10.30
SW Oklahoma,Great American,0-11,0.000,-7,120,3.75,94,3.58,106,27.53,87,3.52,2.21,45,13.09
S Connecticut,Northeast-10,4-6,0.400,+15,121,3.75,134,-7.06,131,21.99,128,-1.58,2.21,108,1.58
W New Mexico,Lone Star,1-10,0.091,-17,122,3.74,113,-1.69,96,29.26,131,-3.48,2.24,43,13.48
Walsh,Great Midwest,2-9,0.182,+6,123,3.73,128,-5.61,145,19.33,95,2.53,2.17,74,8.23
NE Oklahoma,Mid America IAA,2-9,0.182,-20,124,3.73,139,-8.06,114,25.53,139,-6.12,2.21,34,15.47
Southern Nazarene,Great American,1-10,0.091,-6,125,3.72,122,-2.81,117,25.09,118,-0.42,2.18,54,12.24
Lane,Southern IAC,6-4,0.600,+2,126,3.70,138,-7.93,118,24.97,135,-5.42,2.19,160,-7.88
Carson-Newman,South Atlantic,1-9,0.100,-3,127,3.70,121,-2.77,116,25.25,120,-0.54,2.25,59,11.75
Concord,Mountain East,4-6,0.400,+3,128,3.70,133,-6.72,132,21.83,123,-1.08,2.20,134,-1.85
Moorhead St,Northern Sun,5-6,0.455,-15,129,3.70,127,-5.61,133,21.61,112,0.26,2.09,154,-5.55
American Intl,Northeast-10,4-6,0.400,+9,130,3.67,135,-7.17,143,19.91,109,0.39,2.22,140,-2.50
Bloomsburg,Penn St AC,3-8,0.273,+1,131,3.67,130,-6.06,126,23.36,130,-1.94,2.20,98,3.21
West Liberty,Mountain East,4-7,0.364,+2,132,3.66,129,-5.74,129,23.06,126,-1.32,2.23,139,-2.50
Glenville St,Mountain East,3-7,0.300,,133,3.63,126,-5.47,134,21.31,106,0.69,2.19,133,-1.60
St Anselm,Northeast-10,3-6,0.333,+4,134,3.57,132,-6.58,109,26.34,136,-5.45,2.27,126,-0.66
Adams St,Rocky Mtn AC,1-10,0.091,-13,135,3.53,119,-2.47,70,32.01,143,-7.01,2.29,83,7.48
Tuskegee,Southern IAC,3-8,0.273,+1,136,3.52,131,-6.12,138,20.50,104,0.85,2.19,138,-2.28
Limestone,South Atlantic,0-9,0.000,-7,137,3.51,120,-2.67,120,24.47,110,0.33,2.14,58,11.83
W Salem St,Central IAA,3-6,0.333,+3,138,3.48,137,-7.75,156,16.69,90,3.04,2.10,155,-5.85
Mary ND,Northern Sun,4-7,0.364,-28,139,3.47,136,-7.44,85,30.28,154,-10.25,2.15,145,-3.75
Pace,Northeast-10,2-8,0.200,+7,140,3.40,140,-8.59,148,19.16,116,-0.28,2.19,125,-0.58
Edward Waters,Southern IAC,4-7,0.364,+4,141,3.17,145,-15.52,140,20.33,148,-8.37,2.14,157,-7.55
Millersville,Penn St AC,2-9,0.182,+6,142,3.16,142,-14.46,153,17.09,132,-4.08,2.17,122,-0.22
Erskine,NCAA II Ind,3-8,0.273,+3,143,3.14,144,-15.17,136,20.82,151,-8.52,2.16,149,-4.48
Simon Fraser,Great Northwest,1-7,0.125,-9,144,3.13,141,-14.35,142,20.05,142,-6.93,2.19,78,7.80
SW Minnesota,Northern Sun,2-9,0.182,-5,145,3.01,149,-17.76,158,16.11,140,-6.40,2.16,135,-2.03
Clark Atlanta,Southern IAC,2-8,0.200,+5,146,2.96,148,-17.25,154,16.82,141,-6.60,2.24,151,-4.76
Eliz. City St,Central IAA,3-7,0.300,+6,147,2.84,157,-21.12,150,18.68,160,-12.32,2.17,159,-7.74
Wm Jewell,Great Lakes Val,0-11,0.000,+2,148,2.83,143,-15.03,135,20.96,150,-8.51,2.16,89,5.49
Minot St,Northern Sun,2-9,0.182,-7,149,2.83,153,-20.32,152,18.10,156,-10.95,2.18,148,-4.39
Upper Iowa,Northern Sun,1-10,0.091,-6,150,2.80,147,-16.78,149,18.69,147,-8.00,2.24,146,-3.79
Ald-Broaddus,Mountain East,1-10,0.091,+5,151,2.76,155,-20.56,157,16.29,153,-9.37,2.25,124,-0.53
Lincoln MO,Mid America IAA,0-10,0.000,-9,152,2.74,146,-16.43,95,29.33,164,-18.28,2.21,77,7.85
Concordia SP,Northern Sun,1-10,0.091,-4,153,2.68,152,-19.54,160,15.11,144,-7.17,2.19,152,-4.94
Bluefield St,NCAA II Ind,3-3,0.500,,154,2.62,162,-26.37,163,9.95,152,-8.85,2.16,165,-18.97
Ft Lewis,Rocky Mtn AC,0-11,0.000,-3,155,2.62,154,-20.43,144,19.38,161,-12.33,2.30,69,9.56
JC Smith,Central IAA,1-7,0.125,+2,156,2.59,151,-19.24,159,15.67,145,-7.44,2.15,163,-9.70
Lock Haven,Penn St AC,1-10,0.091,-2,157,2.59,158,-22.63,151,18.65,163,-13.80,2.26,136,-2.05
Livingstone,Central IAA,1-8,0.111,+5,158,2.54,160,-22.73,164,9.49,133,-4.74,2.15,158,-7.65
St Augustine's,Central IAA,1-7,0.125,,159,2.53,161,-25.52,161,13.57,158,-11.62,2.20,144,-3.47
Franklin Pierce,Northeast-10,0-10,0.000,,160,2.51,150,-19.17,146,19.31,157,-11.01,2.10,129,-0.91
Clarion,Penn St AC,0-10,0.000,-4,161,2.44,156,-20.57,141,20.10,162,-13.20,2.22,132,-1.39
Allen,Southern IAC,3-5,0.375,-1,162,2.42,164,-27.75,147,19.30,165,-19.58,2.14,164,-17.78
WV Wesleyan,Mountain East,0-10,0.000,+1,163,2.38,159,-22.71,155,16.78,159,-12.01,2.20,130,-1.12
Lincoln PA,Central IAA,1-9,0.100,-2,164,2.34,165,-27.96,165,7.39,146,-7.87,2.22,153,-5.45
Central St OH,Southern IAC,1-9,0.100,,165,2.32,163,-27.45,162,10.54,155,-10.51,2.24,161,-8.32
