Team,,Record,,&Delta;,Rat,,Pwr,,Off,,Def,,HFA,SoS,
Auburn,Southeastern,6-7,0.462,-7,31,7.97,19,67.71,40,59.07,16,36.11,2.24,12,63.23
UCLA,Pac 12,8-4,0.667,,32,7.94,35,63.85,11,64.03,70,27.29,2.17,40,59.43
Texas,Big 12,5-7,0.417,-2,33,7.94,16,68.72,7,66.26,52,29.93,2.11,8,64.39
San Diego St,Mountain West,12-2,0.857,+13,34,7.92,60,58.22,88,52.85,29,32.84,2.07,83,51.50
Air Force,Mountain West,10-3,0.769,+7,35,7.91,42,61.54,56,57.47,36,31.54,2.13,81,52.20
Utah St,Mountain West,11-3,0.786,+10,36,7.90,55,58.97,54,57.84,62,28.60,2.13,76,53.48
Arizona St,Pac 12,8-5,0.615,,37,7.88,36,63.53,60,56.99,22,34.01,2.18,57,57.73
Texas Tech,Big 12,7-6,0.538,-2,38,7.88,40,62.36,23,61.06,61,28.77,2.18,24,61.67
West Virginia,Big 12,6-7,0.462,+2,39,7.85,39,62.88,64,55.87,18,34.48,2.28,13,63.14
Boise St,Mountain West,7-5,0.583,+3,40,7.85,30,64.65,52,57.95,21,34.18,2.10,62,57.16
Miami FL,Atlantic Coast,7-5,0.583,+4,41,7.84,38,62.92,22,61.10,55,29.30,2.18,44,58.90
LSU,Southeastern,6-7,0.462,-12,42,7.83,28,64.79,20,61.22,42,31.04,2.15,20,62.34
Mississippi St,Southeastern,7-6,0.538,-5,43,7.81,41,61.80,53,57.88,38,31.39,2.23,30,60.59
Tennessee,Southeastern,7-6,0.538,-16,44,7.79,37,63.48,9,64.41,78,26.54,2.16,38,59.58
UCF,American Athletic,9-4,0.692,+7,45,7.79,49,60.09,38,59.22,64,28.35,2.12,75,53.56
Fresno St,Mountain West,10-3,0.769,+9,46,7.79,53,59.52,58,57.40,53,29.60,2.17,89,51.08
Florida,Southeastern,6-7,0.462,-7,47,7.77,27,65.08,26,61.00,35,31.55,2.23,31,60.41
South Carolina,Southeastern,7-6,0.538,-4,48,7.73,61,57.81,81,53.70,34,31.58,2.18,37,59.72
Maryland,Big 10,7-6,0.538,-1,49,7.70,58,58.35,37,59.22,77,26.61,2.17,32,60.25
Appalachian St,Sun Belt,10-4,0.714,+1,50,7.70,46,60.78,50,58.21,49,30.05,2.08,82,51.80
Army,FBS Indep,9-4,0.692,+10,51,7.68,64,57.48,71,54.48,46,30.47,2.02,85,51.44
Coastal Car,Sun Belt,11-2,0.846,+11,52,7.67,67,56.83,48,58.59,80,25.71,2.02,120,45.79
SMU,American Athletic,8-4,0.667,+3,53,7.67,56,58.90,16,62.20,96,24.18,2.24,71,54.61
Washington St,Pac 12,7-6,0.538,,54,7.66,45,60.80,57,57.46,43,30.81,2.28,51,57.96
Nebraska,Big 10,3-9,0.250,-16,55,7.65,26,65.16,44,58.91,24,33.72,2.15,9,64.39
TCU,Big 12,5-7,0.417,+2,56,7.64,47,60.40,30,60.18,67,27.69,2.19,22,61.83
UT San Antonio,Conference USA,12-2,0.857,,57,7.64,84,53.02,62,56.66,98,23.83,2.17,104,48.36
Oregon St,Pac 12,7-6,0.538,-9,58,7.63,54,59.18,49,58.49,66,28.16,2.18,48,58.46
Louisville,Atlantic Coast,6-7,0.462,-9,59,7.62,43,61.31,33,59.54,57,29.24,2.24,45,58.86
Virginia,Atlantic Coast,6-6,0.500,-7,60,7.57,57,58.74,28,60.68,82,25.54,2.17,54,57.95
UAB,Conference USA,9-4,0.692,+9,61,7.56,72,55.76,74,54.27,59,28.96,2.18,94,50.36
North Carolina,Atlantic Coast,6-7,0.462,+5,62,7.54,48,60.21,15,62.28,84,25.40,2.19,58,57.71
Nevada,Mountain West,8-5,0.615,+2,63,7.52,65,56.92,36,59.25,87,25.14,2.24,73,53.93
Illinois,Big 10,5-7,0.417,-4,64,7.52,71,56.20,94,52.05,33,31.62,2.11,28,61.14
Tulsa,American Athletic,7-6,0.538,+1,65,7.52,66,56.83,75,54.27,50,30.04,2.07,69,54.93
WKU,Conference USA,9-5,0.643,-7,66,7.52,62,57.54,18,61.85,104,23.17,2.13,84,51.49
Florida St,Atlantic Coast,5-7,0.417,-5,67,7.47,63,57.54,66,55.73,56,29.28,2.18,49,58.43
California,Pac 12,5-7,0.417,,68,7.45,59,58.23,92,52.28,26,33.43,2.19,64,56.92
Virginia Tech,Atlantic Coast,6-7,0.462,+4,69,7.44,68,56.61,82,53.58,44,30.50,2.26,66,56.30
Missouri,Southeastern,6-7,0.462,-6,70,7.43,69,56.55,46,58.68,85,25.35,2.30,59,57.62
C Michigan,Mid-American,9-4,0.692,+8,71,7.41,90,51.97,79,54.04,83,25.41,2.13,100,48.94
W Michigan,Mid-American,8-5,0.615,+8,72,7.41,77,54.91,59,57.12,86,25.27,2.20,90,50.97
USC,Pac 12,4-8,0.333,-4,73,7.40,51,59.63,32,59.60,68,27.50,2.20,42,59.28
Boston College,Atlantic Coast,6-6,0.500,+4,74,7.38,75,55.37,90,52.68,48,30.17,2.13,77,53.29
Washington,Pac 12,4-8,0.333,-4,75,7.38,50,59.84,85,53.48,23,33.84,2.18,61,57.52
Liberty,FBS Indep,8-5,0.615,-4,76,7.38,74,55.42,65,55.82,73,27.08,2.04,101,48.93
Georgia St,Sun Belt,8-5,0.615,-2,77,7.36,86,52.40,76,54.22,81,25.66,2.07,87,51.19
East Carolina,American Athletic,7-5,0.583,-4,78,7.34,87,52.38,70,54.94,90,24.91,2.22,78,52.88
Rutgers,Big 10,5-8,0.385,-3,79,7.34,85,52.68,106,50.16,51,30.00,2.15,34,60.01
Syracuse,Atlantic Coast,5-7,0.417,-3,80,7.33,78,54.76,80,53.77,63,28.47,2.18,65,56.58
Memphis,American Athletic,6-6,0.500,,81,7.31,76,55.23,63,56.50,79,26.20,2.29,80,52.61
Wyoming,Mountain West,7-6,0.538,+5,82,7.29,81,53.71,87,52.88,65,28.30,2.18,93,50.43
Colorado,Pac 12,4-8,0.333,,83,7.27,83,53.26,96,51.89,60,28.85,2.29,41,59.34
Indiana,Big 10,2-10,0.167,,84,7.24,70,56.34,84,53.52,47,30.29,2.15,10,64.27
Northwestern,Big 10,3-9,0.250,+3,85,7.23,73,55.51,99,51.62,39,31.37,2.14,36,59.75
Stanford,Pac 12,3-9,0.250,-4,86,7.21,79,53.80,72,54.40,76,26.87,2.19,27,61.26
Navy,American Athletic,4-8,0.333,-2,87,7.20,89,52.20,104,50.45,58,29.22,2.13,56,57.73
Marshall,Conference USA,7-6,0.538,-2,88,7.19,82,53.30,83,53.55,71,27.22,2.07,102,48.63
N Illinois,Mid-American,9-5,0.643,,89,7.18,96,48.06,68,55.17,114,20.37,2.17,99,49.02
Miami OH,Mid-American,7-6,0.538,+3,90,7.11,92,50.47,103,50.60,69,27.34,2.16,110,47.37
Toledo,Mid-American,7-6,0.538,-1,91,7.08,80,53.76,78,54.05,72,27.19,2.22,118,45.83
Hawaii,Mountain West,6-7,0.462,,92,7.03,94,49.36,73,54.39,107,22.45,2.17,92,50.58
MTSU,Conference USA,7-6,0.538,-2,93,7.03,95,48.41,97,51.75,97,24.13,2.25,112,46.80
Georgia Tech,Atlantic Coast,3-9,0.250,,94,6.99,91,51.13,77,54.09,93,24.52,2.22,53,57.96
San Jose St,Mountain West,5-7,0.417,+1,95,6.97,98,47.28,118,47.69,74,27.06,2.16,88,51.11
Ball St,Mid-American,6-7,0.462,+2,96,6.93,100,46.47,105,50.26,99,23.68,2.13,96,49.86
E Michigan,Mid-American,7-6,0.538,+8,97,6.86,103,45.60,93,52.12,112,20.96,2.09,119,45.82
Tulane,American Athletic,2-10,0.167,-3,98,6.86,88,52.21,67,55.40,95,24.29,2.28,67,55.68
FL Atlantic,Conference USA,5-7,0.417,+3,99,6.85,97,47.39,115,47.98,75,26.88,2.19,107,47.76
Colorado St,Mountain West,3-9,0.250,-3,100,6.85,93,49.92,89,52.78,92,24.61,2.17,72,54.04
Troy,Sun Belt,5-7,0.417,+3,101,6.82,101,46.47,110,49.08,91,24.86,2.10,108,47.74
Kent,Mid-American,7-7,0.500,-1,102,6.79,109,44.43,61,56.92,125,14.98,2.22,106,47.92
Old Dominion,Conference USA,6-7,0.462,,103,6.78,105,45.25,109,49.22,100,23.50,2.21,114,46.57
North Texas,Conference USA,6-7,0.462,-4,104,6.75,108,44.51,102,50.64,111,21.35,2.25,116,45.96
UTEP,Conference USA,7-6,0.538,+2,105,6.73,117,41.58,120,47.17,110,21.89,2.12,125,44.69
Kansas,Big 12,2-10,0.167,-7,106,6.69,107,44.69,91,52.48,117,19.69,2.24,39,59.54
Arizona,Pac 12,1-11,0.083,-1,107,6.63,99,47.19,108,49.58,88,25.08,2.31,43,58.94
South Alabama,Sun Belt,5-7,0.417,+2,108,6.63,116,42.57,121,46.62,102,23.42,2.27,121,45.06
Ga Southern,Sun Belt,3-9,0.250,+6,109,6.62,106,44.87,116,47.96,94,24.37,2.23,95,49.94
Buffalo,Mid-American,4-8,0.333,+4,110,6.59,102,45.90,101,50.90,106,22.47,2.21,123,44.82
South Florida,American Athletic,2-10,0.167,-2,111,6.57,104,45.40,95,51.98,113,20.89,2.18,74,53.65
UNLV,Mountain West,2-10,0.167,-1,112,6.56,111,43.82,111,48.88,108,22.41,2.15,70,54.81
Duke,Atlantic Coast,3-9,0.250,,113,6.56,115,42.99,100,51.10,118,19.35,2.16,86,51.25
Vanderbilt,Southeastern,2-10,0.167,-6,114,6.55,112,43.47,117,47.71,103,23.24,2.16,68,55.20
Louisiana Tech,Conference USA,3-9,0.250,+1,115,6.49,110,44.14,98,51.70,115,19.91,2.11,109,47.72
Charlotte,Conference USA,5-7,0.417,+1,116,6.48,118,39.83,107,49.63,123,17.67,2.19,126,44.14
ULM,Sun Belt,4-8,0.333,-5,117,6.47,122,38.62,119,47.56,121,18.53,2.24,103,48.48
Texas St,Sun Belt,4-8,0.333,+1,118,6.45,119,39.82,114,48.06,119,19.24,2.15,115,46.39
New Mexico,Mountain West,3-9,0.250,+3,119,6.44,121,39.02,127,43.07,101,23.43,2.19,91,50.77
Ohio,Mid-American,3-9,0.250,+1,120,6.42,113,43.34,112,48.81,109,22.01,2.08,117,45.89
Rice,Conference USA,4-8,0.333,-3,121,6.41,123,38.17,122,45.83,116,19.81,2.15,113,46.73
Arkansas St,Sun Belt,2-10,0.167,-2,122,6.35,114,43.02,86,53.11,124,17.38,2.22,98,49.04
Southern Miss,Conference USA,3-9,0.250,,123,6.27,120,39.49,125,44.14,105,22.82,2.19,127,44.00
Temple,American Athletic,3-9,0.250,+1,124,6.24,124,35.42,123,45.09,122,17.80,2.23,105,47.98
Bowling Green,Mid-American,4-8,0.333,-1,125,6.22,126,33.84,129,42.46,120,18.85,2.20,124,44.79
New Mexico St,FBS Indep,2-10,0.167,,126,5.92,125,34.05,113,48.45,129,13.07,2.27,122,44.96
Akron,Mid-American,2-10,0.167,+1,127,5.76,129,29.93,126,43.24,128,14.16,2.19,128,43.29
Connecticut,FBS Indep,1-11,0.083,-1,128,5.67,128,30.12,128,42.63,126,14.96,2.23,111,47.28
Florida Intl,Conference USA,1-11,0.083,,129,5.63,127,31.47,124,44.69,127,14.25,2.26,130,42.34
Massachusetts,FBS Indep,1-11,0.083,,130,5.36,130,24.31,130,41.15,130,10.64,2.33,129,42.65
