Team,,Record,,&Delta;,Rat,,Pwr,,Off,,Def,,HFA,SoS,
Huntingdon,USA South,8-3,0.727,,48,3.55,54,-9.72,45,22.98,70,-5.22,2.19,74,-17.98
Bates,NESCAC,3-6,0.333,-22,49,3.54,53,-9.70,66,20.01,45,-2.24,2.13,9,-0.30
Coe,American Rivers,8-2,0.800,+7,50,3.51,69,-12.84,61,20.53,75,-5.89,2.13,88,-19.58
Ursinus,Centennial,7-4,0.636,-7,51,3.50,55,-10.25,43,23.46,77,-6.23,2.14,52,-14.07
Whitworth,Northwest,7-3,0.700,+11,52,3.49,49,-9.32,67,19.85,41,-1.70,2.13,87,-19.36
Carnegie Mellon,Presidents' AC,8-2,0.800,+8,53,3.49,63,-11.46,115,15.52,27,0.49,2.11,148,-25.16
E Texas Bap,American SW,5-5,0.500,+1,54,3.49,48,-9.06,49,22.23,60,-3.81,2.12,29,-9.11
George Fox,Northwest,6-3,0.667,+12,55,3.49,62,-11.20,104,16.29,31,-0.02,2.10,70,-17.13
Berry,SAA,6-4,0.600,+4,56,3.46,50,-9.51,58,20.93,52,-2.96,2.14,59,-15.31
Wash & Jeff,Presidents' AC,8-3,0.727,+7,57,3.46,64,-11.64,74,19.45,58,-3.62,2.16,108,-20.94
Emory & Henry,Old Dominion AC,6-4,0.600,-11,58,3.44,38,-5.71,36,24.86,56,-3.10,2.12,78,-18.71
Hamilton,NESCAC,2-7,0.222,-28,59,3.44,51,-9.51,84,18.50,34,-0.53,2.11,5,0.83
Albion,Michigan IAA,9-2,0.818,+18,60,3.43,73,-13.70,57,21.15,87,-7.37,2.16,118,-22.04
DePauw,North Coast AC,9-3,0.750,+13,61,3.42,74,-14.19,87,18.17,69,-4.88,2.22,102,-20.58
Frank & Marsh,Centennial,6-5,0.545,-12,62,3.42,57,-10.34,79,18.86,42,-1.73,2.23,50,-13.93
Hope,Michigan IAA,8-2,0.800,+21,63,3.40,65,-11.95,86,18.34,50,-2.81,2.07,156,-25.82
Chapman,Southern Cal IAC,7-3,0.700,+6,64,3.40,61,-10.71,38,24.40,94,-7.64,2.19,83,-19.09
Westminster PA,Presidents' AC,8-3,0.727,,65,3.39,71,-13.64,75,19.36,72,-5.53,2.10,103,-20.71
Brockport St,Empire 8,8-3,0.727,+15,66,3.38,59,-10.62,101,16.37,28,0.48,2.19,149,-25.25
Lycoming,Mid Atlantic,8-3,0.727,-5,67,3.38,75,-14.20,95,17.17,62,-3.90,2.14,94,-20.14
Marietta,Ohio AC,4-6,0.400,-15,68,3.37,46,-8.57,65,20.06,39,-1.16,2.12,44,-11.81
Springfield,NE W&M,7-4,0.636,+11,69,3.36,52,-9.66,60,20.54,48,-2.73,2.09,98,-20.52
Ohio Northern,Ohio AC,4-6,0.400,-14,70,3.33,41,-7.80,33,25.41,73,-5.74,2.26,42,-11.72
Aurora,Northern Athletic,8-3,0.727,-2,71,3.32,72,-13.65,30,26.36,139,-12.54,2.02,86,-19.35
Claremont M.S.,Southern Cal IAC,7-3,0.700,+14,72,3.30,84,-15.36,124,14.85,49,-2.74,2.13,95,-20.33
Shenandoah,Old Dominion AC,7-3,0.700,-7,73,3.30,89,-16.55,94,17.25,79,-6.32,2.15,80,-18.84
Pacific OR,Northwest,6-3,0.667,-2,74,3.29,77,-14.48,64,20.13,86,-7.14,2.16,75,-18.16
Dubuque,American Rivers,6-4,0.600,-7,75,3.28,85,-15.56,111,15.78,61,-3.87,2.11,61,-15.69
Lake Forest,Midwest,10-1,0.909,+7,76,3.27,91,-16.95,121,15.14,67,-4.62,2.10,193,-33.14
Dickinson,Centennial,4-6,0.400,-23,77,3.24,68,-12.08,109,15.91,33,-0.51,2.21,46,-12.33
Widener,Mid Atlantic,7-4,0.636,+7,78,3.20,88,-15.98,119,15.20,59,-3.71,2.12,90,-19.83
Grove City,Presidents' AC,8-3,0.727,-2,79,3.16,80,-14.68,68,19.82,83,-7.03,2.12,159,-26.65
Stevenson,Mid Atlantic,5-6,0.455,-7,80,3.15,66,-11.98,51,22.04,82,-6.54,2.13,65,-16.14
WI Eau Claire,Wisconsin IAC,3-7,0.300,-23,81,3.14,70,-13.24,54,21.63,88,-7.39,2.17,26,-7.71
Bowdoin,NESCAC,1-8,0.111,-47,82,3.14,67,-12.04,72,19.55,65,-4.11,2.21,6,0.59
Ohio Wesleyan,North Coast AC,8-2,0.800,+21,83,3.11,96,-18.95,99,16.53,96,-8.01,2.14,165,-27.70
Methodist,USA South,7-2,0.778,-5,84,3.11,98,-19.73,76,19.02,125,-11.27,2.16,134,-24.04
SW Univ TX,American SW,4-6,0.400,-3,85,3.10,83,-15.29,71,19.65,90,-7.47,2.21,43,-11.73
Rose-Hulman,Heartland CAC,8-3,0.727,+13,86,3.09,86,-15.69,56,21.36,111,-9.57,2.10,162,-27.35
Chicago,Midwest,8-2,0.800,+8,87,3.09,78,-14.53,42,23.49,120,-10.55,2.15,184,-32.34
Hampden-Sydney,Old Dominion AC,5-5,0.500,-12,88,3.07,93,-17.90,85,18.43,102,-8.85,2.22,62,-15.78
Brevard,USA South,6-4,0.600,+3,89,3.07,81,-14.87,138,13.29,35,-0.69,2.14,147,-25.14
Wittenberg,North Coast AC,7-3,0.700,+16,90,3.06,94,-18.15,100,16.40,84,-7.07,2.13,140,-24.81
TX Lutheran,American SW,3-7,0.300,+3,91,3.06,79,-14.56,78,18.91,76,-6.00,2.25,31,-9.26
Ferrum,Old Dominion AC,6-4,0.600,-5,92,3.02,112,-21.12,88,17.94,126,-11.58,2.09,76,-18.19
Denison,North Coast AC,6-4,0.600,+12,93,3.00,76,-14.27,70,19.74,81,-6.53,2.22,153,-25.39
Trine,Michigan IAA,6-4,0.600,+17,94,3.00,92,-17.28,91,17.78,93,-7.59,2.12,132,-23.91
Bridgewater VA,Old Dominion AC,4-6,0.400,-7,95,2.96,82,-14.93,126,14.68,44,-2.14,2.10,91,-19.87
St Lawrence,Liberty League,5-5,0.500,+6,96,2.95,90,-16.63,116,15.43,66,-4.59,2.25,115,-21.88
Muskingum,Ohio AC,5-5,0.500,-6,97,2.93,104,-20.82,96,17.17,119,-10.52,2.17,66,-16.27
W New England,Commonwealth Coast,7-4,0.636,+23,98,2.92,95,-18.31,82,18.65,109,-9.49,2.23,154,-25.58
Wabash,North Coast AC,7-3,0.700,+13,99,2.92,100,-19.89,47,22.45,153,-14.87,2.17,155,-25.76
Endicott,Commonwealth Coast,8-3,0.727,+27,100,2.91,107,-20.87,122,15.14,98,-8.53,2.13,167,-28.07
Salve Regina,Commonwealth Coast,8-2,0.800,+30,101,2.91,118,-22.52,120,15.16,117,-10.21,2.15,174,-29.73
Monmouth IL,Midwest,8-2,0.800,+14,102,2.87,109,-20.95,113,15.72,105,-9.20,2.17,200,-34.21
Concordia Mhd,Minnesota IAC,4-6,0.400,-14,103,2.86,87,-15.85,81,18.72,85,-7.10,2.18,85,-19.22
Augustana IL,Ill & Wisc,5-5,0.500,-29,104,2.82,101,-20.16,125,14.73,89,-7.41,2.11,111,-21.06
Olivet MI,Michigan IAA,7-3,0.700,+23,105,2.82,108,-20.92,77,19.02,137,-12.46,2.11,177,-30.04
Cal Lutheran,Southern Cal IAC,5-3,0.625,+8,106,2.78,122,-23.20,123,14.95,121,-10.67,2.23,131,-23.89
Catholic,NE W&M,6-4,0.600,+13,107,2.76,124,-24.08,130,14.27,123,-10.88,2.21,127,-23.16
Loras,American Rivers,4-6,0.400,-5,108,2.74,110,-21.09,105,16.17,114,-9.79,2.19,79,-18.81
Chris Newport,New Jersey A.C.,5-5,0.500,,109,2.73,117,-22.49,107,15.99,124,-11.00,2.23,114,-21.77
WI Stevens Pt,Wisconsin IAC,2-8,0.200,-13,110,2.72,106,-20.85,110,15.85,106,-9.22,2.22,27,-8.29
Utica,Empire 8,6-5,0.545,+25,111,2.72,125,-24.34,154,11.79,100,-8.67,2.25,129,-23.39
Lakeland,Northern Athletic,8-2,0.800,+17,112,2.71,121,-23.16,69,19.75,157,-15.44,2.12,202,-34.61
Wilkes,Mid Atlantic,6-4,0.600,+12,113,2.71,129,-24.99,144,12.69,116,-10.21,2.12,150,-25.25
Averett,USA South,5-5,0.500,-4,114,2.71,105,-20.85,106,16.00,108,-9.38,2.18,141,-24.83
Pomona-Pitzer,Southern Cal IAC,4-5,0.444,+2,115,2.70,97,-19.40,97,16.71,99,-8.64,2.14,135,-24.16
FDU Madison,Mid Atlantic,7-4,0.636,-1,116,2.69,130,-25.41,80,18.81,167,-16.75,2.10,138,-24.68
McMurry,American SW,2-7,0.222,-19,117,2.69,102,-20.39,89,17.93,122,-10.85,2.17,39,-11.51
Buena Vista,American Rivers,5-5,0.500,-22,118,2.69,115,-22.17,48,22.23,168,-16.93,2.18,110,-20.96
Case Western,Presidents' AC,6-4,0.600,+4,119,2.68,113,-21.93,83,18.60,145,-13.06,2.15,163,-27.40
Carroll WI,Ill & Wisc,6-4,0.600,-27,120,2.68,141,-27.92,132,14.01,150,-14.45,2.21,109,-20.94
Lebanon Val,Mid Atlantic,5-5,0.500,+5,121,2.66,127,-24.64,159,10.94,97,-8.11,2.15,126,-22.94
Moravian,Centennial,3-7,0.300,-14,122,2.64,128,-24.71,163,10.33,92,-7.57,2.24,53,-14.12
MIT,NE W&M,5-4,0.556,+17,123,2.62,120,-22.73,149,12.23,91,-7.49,2.15,171,-28.83
Pac Lutheran,Northwest,4-5,0.444,+13,124,2.62,131,-25.42,168,9.83,95,-7.78,2.21,113,-21.26
Montclair St,New Jersey A.C.,3-7,0.300,+8,125,2.60,103,-20.70,169,9.80,54,-3.03,2.20,99,-20.52
St Norbert,Northern Athletic,5-5,0.500,+9,126,2.59,99,-19.82,131,14.17,80,-6.52,2.13,175,-29.89
Maryville TN,USA South,4-6,0.400,-3,127,2.58,123,-23.38,108,15.92,130,-11.83,2.21,120,-22.17
Hendrix,SAA,3-7,0.300,+2,128,2.56,114,-22.12,92,17.47,133,-12.12,2.15,77,-18.62
Carleton MN,Minnesota IAC,7-3,0.700,-22,129,2.55,139,-27.05,146,12.44,131,-12.02,2.21,183,-32.19
Kean,New Jersey A.C.,4-5,0.444,+4,130,2.55,150,-29.34,187,7.83,113,-9.70,2.19,81,-18.95
Adrian,Michigan IAA,5-5,0.500,+17,131,2.53,134,-25.94,127,14.50,143,-12.97,2.19,158,-26.49
King's PA,Mid Atlantic,5-5,0.500,+7,132,2.53,138,-26.81,166,9.92,107,-9.26,2.12,139,-24.74
Wooster,North Coast AC,6-4,0.600,+5,133,2.52,135,-25.97,62,20.42,185,-18.92,2.24,166,-27.88
Hanover,Heartland CAC,5-5,0.500,+10,134,2.52,119,-22.59,128,14.44,110,-9.56,2.06,179,-30.56
Husson,Commonwealth Coast,7-3,0.700,+37,135,2.51,144,-28.43,186,7.85,101,-8.80,2.14,197,-33.69
Carthage,Ill & Wisc,3-7,0.300,-36,136,2.50,116,-22.45,59,20.86,159,-15.83,2.17,72,-17.66
IL Wesleyan,Ill & Wisc,3-7,0.300,-36,137,2.50,111,-21.11,98,16.64,118,-10.28,2.17,112,-21.08
McDaniel,Centennial,2-8,0.200,-16,138,2.48,133,-25.57,183,8.22,78,-6.32,2.19,49,-13.48
NC Wesleyan,USA South,4-6,0.400,+2,139,2.47,147,-28.79,182,8.32,112,-9.64,2.17,121,-22.33
St Olaf,Minnesota IAC,5-5,0.500,-21,140,2.46,142,-27.97,150,11.96,136,-12.45,2.18,137,-24.56
Benedictine IL,Northern Athletic,8-2,0.800,+8,141,2.46,155,-30.72,90,17.89,201,-21.13,2.23,203,-34.81
Alfred,Empire 8,5-5,0.500,+28,142,2.45,154,-30.20,175,9.06,129,-11.79,2.16,128,-23.26
Sul Ross,American SW,2-8,0.200,-25,143,2.45,136,-26.10,140,13.00,127,-11.62,2.16,47,-12.94
Framingham St,MASCAC,8-3,0.727,+23,144,2.39,149,-29.14,156,11.19,141,-12.85,2.16,207,-36.98
Geneva,Presidents' AC,4-6,0.400,-13,145,2.38,137,-26.10,133,13.90,138,-12.53,2.13,160,-26.78
Mt St Joseph,Heartland CAC,6-4,0.600,+25,146,2.37,145,-28.45,135,13.61,151,-14.59,2.19,189,-32.89
College of NJ,New Jersey A.C.,3-6,0.333,-2,147,2.36,146,-28.58,185,7.89,103,-9.01,2.14,105,-20.78
NE Wesleyan,American Rivers,4-6,0.400,-6,148,2.34,148,-28.87,152,11.95,146,-13.35,2.21,133,-23.94
St John Fisher,Empire 8,4-6,0.400,+5,149,2.33,151,-29.40,137,13.37,155,-15.29,2.23,125,-22.89
Worcester Tech,NE W&M,3-7,0.300,+24,150,2.33,132,-25.56,151,11.96,115,-10.04,2.16,136,-24.26
Rowan,New Jersey A.C.,2-7,0.222,-8,151,2.31,126,-24.57,114,15.52,140,-12.62,2.19,107,-20.92
Millikin,Ill & Wisc,3-7,0.300,-39,152,2.29,140,-27.35,139,13.11,144,-12.99,2.23,116,-21.97
Franklin,Heartland CAC,6-4,0.600,+22,153,2.25,168,-32.72,170,9.48,152,-14.73,2.07,194,-33.15
Austin Col,American SW,1-8,0.111,-3,154,2.20,152,-29.47,134,13.80,158,-15.80,2.19,38,-11.50
Lincoln CA,NCAA III Ind,1-9,0.100,-65,155,2.20,143,-28.31,93,17.42,178,-18.26,2.17,21,-5.62
Alma,Michigan IAA,5-5,0.500,+21,156,2.18,158,-31.33,176,9.00,142,-12.86,2.15,187,-32.41
Rochester NY,Liberty League,3-7,0.300,+6,157,2.14,169,-33.17,179,8.68,149,-14.38,2.12,101,-20.56
MA Dartmouth,MASCAC,9-2,0.818,+23,158,2.13,175,-35.42,173,9.21,169,-17.16,2.19,225,-44.51
St Vincent,Presidents' AC,5-6,0.455,-3,159,2.12,166,-32.68,143,12.75,175,-17.96,2.15,176,-30.03
Wm Paterson,New Jersey A.C.,4-6,0.400,+8,160,2.12,161,-31.85,189,7.67,132,-12.05,2.18,178,-30.06
Morrisville St,Empire 8,2-8,0.200,+15,161,2.09,156,-30.74,181,8.45,128,-11.71,2.24,100,-20.56
La Verne,Southern Cal IAC,3-6,0.333,+2,162,2.09,164,-32.29,145,12.61,170,-17.43,2.24,146,-25.08
Lewis & Clark,Northwest,3-6,0.333,-6,163,2.07,157,-31.18,103,16.30,192,-20.01,2.15,145,-24.98
Misericordia,Mid Atlantic,3-6,0.333,+9,164,2.07,171,-34.24,191,7.27,148,-14.04,2.12,144,-24.94
Augsburg,Minnesota IAC,4-6,0.400,-15,165,2.06,159,-31.60,118,15.38,189,-19.50,2.22,172,-28.97
Ripon,Midwest,6-3,0.667,+16,166,2.05,178,-36.05,190,7.59,163,-16.16,2.20,212,-39.15
Otterbein,Ohio AC,1-9,0.100,-8,167,2.05,153,-30.04,136,13.38,160,-15.95,2.20,60,-15.64
Millsaps,SAA,2-8,0.200,-3,168,2.03,165,-32.35,129,14.31,186,-19.18,2.17,92,-19.96
Rhodes,SAA,3-7,0.300,,169,2.03,170,-33.19,160,10.84,166,-16.55,2.17,142,-24.84
Wilmington OH,Ohio AC,2-7,0.222,-15,170,2.02,172,-34.52,148,12.23,187,-19.28,2.23,82,-19.04
Gettysburg,Centennial,1-9,0.100,-24,171,2.02,160,-31.85,158,10.95,156,-15.33,2.25,51,-13.97
Concordia WI,Northern Athletic,6-4,0.600,+6,172,2.01,182,-37.03,194,6.89,165,-16.45,2.22,205,-36.62
S Virginia,USA South,2-8,0.200,-12,173,1.97,162,-31.86,161,10.80,154,-15.18,2.23,143,-24.91
LaGrange,USA South,2-8,0.200,-12,174,1.96,166,-32.68,147,12.38,171,-17.59,2.20,124,-22.72
Apprentice,Old Dominion AC,1-7,0.125,-22,175,1.95,176,-35.47,162,10.50,179,-18.50,2.19,45,-12.27
Capital,Ohio AC,2-8,0.200,-16,176,1.92,173,-35.02,157,11.02,181,-18.57,2.18,104,-20.73
Greenville,Upper Midwest,8-3,0.727,+6,177,1.86,194,-40.40,177,8.86,203,-21.78,2.15,216,-42.61
North Park,Ill & Wisc,2-8,0.200,-32,178,1.86,185,-37.70,188,7.79,176,-18.01,2.24,89,-19.82
Juniata,Centennial,1-9,0.100,-27,179,1.82,174,-35.42,142,12.80,200,-20.74,2.17,63,-15.92
Simpson IA,American Rivers,1-9,0.100,-14,180,1.82,163,-32.12,117,15.41,194,-20.06,2.18,93,-20.02
Bridgewater MA,MASCAC,6-4,0.600,+7,181,1.81,180,-36.40,174,9.19,177,-18.11,2.15,215,-42.26
Albright,Mid Atlantic,2-8,0.200,-2,182,1.77,177,-36.02,164,10.01,180,-18.56,2.22,157,-26.04
Martin Luther,Upper Midwest,5-4,0.556,+7,183,1.68,188,-39.32,203,4.47,164,-16.32,2.16,218,-43.09
U New England,Commonwealth Coast,4-5,0.444,+10,184,1.67,197,-41.95,197,6.18,199,-20.66,2.15,199,-33.99
Curry,Commonwealth Coast,3-6,0.333,+10,185,1.67,186,-39.12,192,7.08,183,-18.72,2.19,186,-32.40
Allegheny,North Coast AC,3-7,0.300,-2,186,1.67,181,-36.90,167,9.91,188,-19.34,2.17,191,-33.07
Norwich,NE W&M,2-8,0.200,+6,187,1.65,193,-40.22,193,7.05,191,-19.80,2.13,151,-25.36
Illinois Col,Midwest,5-5,0.500,+4,188,1.64,195,-40.55,198,5.83,184,-18.90,2.20,213,-40.36
W Connecticut,MASCAC,5-5,0.500,+8,189,1.62,184,-37.56,180,8.48,182,-18.57,2.16,223,-44.02
Hartwick,Empire 8,2-7,0.222,-1,190,1.62,192,-40.18,211,3.43,162,-16.14,2.20,168,-28.11
Elmhurst,Ill & Wisc,1-9,0.100,-33,191,1.61,191,-40.14,202,5.10,173,-17.77,2.29,84,-19.15
Plymouth St,MASCAC,5-5,0.500,+11,192,1.59,196,-41.37,230,-1.50,135,-12.40,2.20,224,-44.42
Macalester,Minnesota IAC,3-7,0.300,-7,193,1.59,190,-39.74,165,9.94,205,-22.21,2.19,182,-32.16
Guilford,Old Dominion AC,1-7,0.125,-15,194,1.56,187,-39.18,155,11.50,210,-23.21,2.33,123,-22.58
Anna Maria,East Coast,7-3,0.700,+10,195,1.56,199,-43.58,178,8.78,215,-24.89,2.15,231,-45.89
Coast Guard,NE W&M,2-8,0.200,+8,196,1.54,189,-39.45,218,1.73,147,-13.71,2.19,181,-31.47
Buffalo St,Liberty League,0-10,0.000,-10,197,1.53,179,-36.12,172,9.26,174,-17.90,2.19,68,-16.84
Bluffton,Heartland CAC,4-6,0.400,+3,198,1.52,200,-43.62,204,4.26,195,-20.40,2.17,210,-37.80
Puget Sound,Northwest,1-9,0.100,-8,199,1.51,183,-37.49,141,12.98,209,-23.00,2.29,152,-25.36
Hamline,Minnesota IAC,4-6,0.400,-15,200,1.42,201,-44.30,208,3.71,197,-20.54,2.19,211,-38.70
Kenyon,North Coast AC,3-7,0.300,-5,201,1.41,206,-46.71,214,3.08,206,-22.32,2.23,180,-31.39
Alfred St,East Coast,6-5,0.545,+6,202,1.37,203,-45.89,207,3.73,204,-22.14,2.16,230,-45.39
Castleton,East Coast,6-4,0.600,+17,203,1.33,212,-47.98,225,0.06,198,-20.57,2.20,234,-47.86
Alvernia,Mid Atlantic,0-10,0.000,-2,204,1.28,198,-42.45,220,1.15,161,-16.12,2.14,96,-20.44
WI Lutheran,Northern Athletic,3-7,0.300,-5,205,1.26,202,-45.31,153,11.92,230,-29.76,2.15,209,-37.56
Nichols,Commonwealth Coast,2-8,0.200,+12,206,1.21,211,-47.85,227,-0.37,193,-20.01,2.22,195,-33.43
Kalamazoo,Michigan IAA,1-9,0.100,+6,207,1.20,205,-46.58,219,1.40,196,-20.51,2.20,161,-27.17
Cornell IA,Midwest,4-6,0.400,-1,208,1.19,214,-49.08,222,0.72,207,-22.33,2.15,214,-41.77
Manchester,Heartland CAC,3-7,0.300,+10,209,1.17,224,-52.38,231,-1.63,211,-23.27,2.19,201,-34.53
MA Maritime,MASCAC,4-6,0.400,+11,210,1.13,221,-50.31,239,-5.17,172,-17.66,2.17,229,-45.31
Gallaudet,East Coast,4-3,0.571,+12,211,1.10,216,-49.21,200,5.30,224,-27.04,2.26,236,-50.00
Waynesburg,Presidents' AC,2-8,0.200,-6,212,1.08,219,-50.08,210,3.44,222,-26.05,2.31,185,-32.39
Knox,Midwest,3-6,0.333,-1,213,1.08,208,-47.20,205,4.18,212,-23.91,2.21,221,-43.96
Eureka,Northern Athletic,2-8,0.200,-5,214,1.07,209,-47.26,171,9.37,229,-29.16,2.15,208,-37.52
Willamette,Northwest,1-9,0.100,-17,215,1.05,213,-48.03,184,8.00,226,-28.56,2.23,170,-28.66
Luther IA,American Rivers,0-10,0.000,-17,216,1.02,204,-46.38,201,5.25,213,-24.15,2.28,119,-22.06
Oberlin,North Coast AC,1-9,0.100,-7,217,0.99,207,-47.14,199,5.81,218,-25.47,2.26,196,-33.49
SUNY Maritime,East Coast,3-6,0.333,+11,218,0.99,222,-51.20,236,-4.01,190,-19.72,2.29,227,-44.82
Northwestern MN,Upper Midwest,3-7,0.300,-4,219,0.95,218,-50.02,212,3.25,220,-25.79,2.11,217,-42.95
Bethany WV,Presidents' AC,1-9,0.100,-3,220,0.93,215,-49.20,226,-0.07,202,-21.65,2.22,190,-32.90
Hiram,North Coast AC,1-9,0.100,-7,221,0.87,220,-50.13,215,2.40,216,-25.06,2.21,198,-33.95
Sewanee,SAA,0-10,0.000,-11,222,0.81,210,-47.46,196,6.62,223,-26.61,2.19,164,-27.42
Greensboro,USA South,0-10,0.000,-7,223,0.79,217,-49.66,221,0.76,208,-22.95,2.19,169,-28.43
Anderson IN,Heartland CAC,1-9,0.100,+3,224,0.79,223,-51.73,217,1.76,221,-26.01,2.21,204,-35.68
MN Morris,Upper Midwest,5-5,0.500,-1,225,0.78,231,-57.27,228,-0.84,227,-28.96,2.23,241,-51.88
Concordia IL,Northern Athletic,3-7,0.300,+2,226,0.76,228,-55.55,235,-3.75,214,-24.33,2.24,232,-46.08
Rockford,Northern Athletic,2-8,0.200,-5,227,0.70,225,-52.54,195,6.65,233,-31.72,2.27,222,-44.00
