Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
Delta St,Gulf South,11-3,0.786,18,3.90,18,17.28,11,37.60,33,5.97,3.01,31,9.28
MN Mankato,Northern Sun,9-3,0.750,19,3.79,20,16.58,33,33.09,12,9.79,2.99,41,7.84
Indianapolis,Great Lakes IAC,7-4,0.636,20,3.78,24,15.85,23,34.21,22,7.94,2.97,19,12.02
NE Kearney,Rocky Mtn AC,10-2,0.833,21,3.73,19,16.81,15,36.06,28,7.05,2.87,75,2.21
North Alabama,Gulf South,9-3,0.750,22,3.71,25,15.81,28,33.72,18,8.38,2.89,42,7.67
Winona St,Northern Sun,7-4,0.636,23,3.70,22,16.46,20,35.20,25,7.55,2.98,32,9.00
Ashland,Great Lakes IAC,6-5,0.545,24,3.60,17,17.54,21,34.96,17,8.87,2.95,27,9.89
North Greenville,South Atlantic,11-3,0.786,25,3.52,26,15.50,16,35.85,34,5.94,3.11,85,0.66
W Salem St,Central IAA,13-1,0.929,26,3.48,33,12.42,44,31.97,32,6.74,2.97,124,-5.99
W Oregon,Great Northwest,6-5,0.545,27,3.45,31,13.10,41,32.36,29,7.04,2.97,10,13.67
California PA,Penn St AC,10-3,0.769,28,3.41,27,14.70,31,33.21,24,7.78,3.04,98,-0.85
Ferris St,Great Lakes IAC,6-5,0.545,29,3.38,32,13.10,42,32.32,27,7.08,3.07,23,10.96
Augustana SD,Northern Sun,6-5,0.545,30,3.38,23,16.03,46,31.78,9,10.55,2.91,52,6.53
Emporia St,Mid America IAA,5-6,0.455,31,3.36,29,13.40,26,33.79,35,5.90,2.99,20,11.91
N Michigan,Great Lakes IAC,4-7,0.364,32,3.34,30,13.32,35,32.81,31,6.80,3.01,11,13.64
West Alabama,Gulf South,8-4,0.667,33,3.29,36,11.45,36,32.66,37,5.08,2.95,54,6.14
Bemidji St,Northern Sun,8-3,0.727,34,3.23,38,10.75,82,27.53,14,9.51,3.01,74,2.51
Wayne St NE,Northern Sun,7-4,0.636,35,3.23,39,10.45,37,32.61,47,4.13,2.88,44,7.35
C Washington,Great Northwest,4-6,0.400,36,3.20,28,14.05,39,32.52,23,7.82,2.89,29,9.37
TX A&M K'ville,Lone Star,6-5,0.545,37,3.18,37,11.42,24,34.14,52,3.58,2.81,40,7.91
OH Dominican,Great Lakes IAC,7-4,0.636,38,3.16,49,7.82,49,31.45,58,2.66,2.98,37,8.21
Tarleton St,Lone Star,6-5,0.545,39,3.16,42,9.88,30,33.64,59,2.53,2.97,38,8.17
Bloomsburg,Penn St AC,9-2,0.818,40,3.14,43,9.37,53,31.24,45,4.42,2.98,112,-2.84
MO Southern,Mid America IAA,3-7,0.300,41,3.13,35,11.71,27,33.74,46,4.26,2.89,5,14.53
Findlay,Great Lakes IAC,6-5,0.545,42,3.10,50,7.74,45,31.79,64,2.24,2.83,17,12.08
Henderson St,Great American,6-4,0.600,43,3.10,41,9.95,38,32.56,51,3.68,2.82,49,6.81
Shepherd,West Virginia IAC,9-2,0.818,44,3.08,34,12.26,19,35.30,53,3.25,3.06,127,-6.22
Lindenwood,NCAA II Ind,8-3,0.727,45,3.01,53,7.47,22,34.59,90,-0.82,3.02,117,-4.02
Kutztown,Penn St AC,11-2,0.846,46,2.98,55,7.32,40,32.46,67,1.15,3.09,116,-3.98
Sioux Falls,NCAA II Ind,5-4,0.556,47,2.95,44,8.84,62,30.10,39,5.03,2.95,80,1.90
Mary ND,Northern Sun,5-6,0.455,48,2.94,40,10.10,25,34.12,62,2.28,2.94,50,6.71
Lenoir-Rhyne,South Atlantic,7-3,0.700,49,2.90,45,8.80,54,31.23,50,3.87,2.91,79,1.99
Valdosta St,Gulf South,6-4,0.600,50,2.89,48,8.58,68,29.22,36,5.65,2.86,58,5.06
Indiana PA,Penn St AC,7-3,0.700,51,2.89,46,8.75,84,26.88,21,8.17,2.90,90,0.06
NE Oklahoma,NCAA II Ind,7-5,0.583,52,2.87,51,7.68,32,33.10,72,0.87,3.07,73,2.69
Truman St,Mid America IAA,4-7,0.364,53,2.85,54,7.37,66,29.69,49,3.98,2.91,14,13.07
Fort Hays St,Mid America IAA,4-7,0.364,54,2.83,52,7.60,48,31.65,63,2.24,2.84,12,13.35
Ouachita,Great American,7-3,0.700,55,2.81,62,5.59,34,32.98,92,-1.09,2.85,64,4.12
New Haven,Northeast-10,11-2,0.846,56,2.80,65,4.97,43,32.03,86,-0.76,3.06,113,-3.61
Angelo St,Lone Star,5-6,0.455,57,2.80,47,8.74,59,30.33,42,4.70,2.76,51,6.63
East Central OK,Great American,8-3,0.727,58,2.79,59,6.53,64,29.71,54,3.11,3.07,83,1.43
Colorado Mines,Rocky Mtn AC,8-3,0.727,59,2.77,57,6.67,58,30.57,60,2.39,2.91,114,-3.75
Slippery Rock,Penn St AC,8-3,0.727,60,2.67,64,4.98,89,26.21,38,5.06,3.05,109,-2.38
Mars Hill,South Atlantic,8-3,0.727,61,2.65,77,1.97,52,31.24,108,-2.98,2.85,66,3.72
Chadron St,Rocky Mtn AC,6-5,0.545,62,2.62,60,6.34,77,28.13,44,4.50,2.91,81,1.68
West Georgia,Gulf South,6-4,0.600,63,2.61,74,3.01,87,26.44,56,2.87,2.83,60,4.93
Concordia SP,Northern Sun,6-5,0.545,64,2.58,69,3.61,63,29.97,79,-0.06,2.90,55,6.01
Northwood MI,Great Lakes IAC,2-9,0.182,65,2.58,58,6.58,92,25.69,26,7.19,2.79,13,13.27
Shippensburg,Penn St AC,7-4,0.636,66,2.57,61,5.77,47,31.75,77,0.31,3.06,103,-1.53
Northern St SD,Northern Sun,5-6,0.455,67,2.50,71,3.34,86,26.54,55,3.09,2.94,46,7.10
NC Pembroke,NCAA II Ind,8-3,0.727,68,2.50,68,3.69,72,29.08,71,0.90,2.83,108,-2.37
WV Wesleyan,West Virginia IAC,9-2,0.818,69,2.50,73,3.03,60,30.22,91,-0.90,3.08,134,-6.76
Concord,West Virginia IAC,7-4,0.636,70,2.47,75,2.94,104,24.37,41,4.86,2.94,87,0.53
Harding,Great American,3-7,0.300,71,2.43,56,6.69,57,30.63,61,2.35,2.80,57,5.25
Edinboro,Penn St AC,7-4,0.636,72,2.39,67,3.78,93,25.51,43,4.56,2.98,115,-3.89
West Chester,Penn St AC,5-6,0.455,73,2.37,66,3.79,71,29.10,68,0.98,2.78,70,3.04
Carson-Newman,South Atlantic,5-6,0.455,74,2.33,63,5.17,76,28.63,57,2.84,2.84,84,0.83
LIU Post,Penn St AC,7-4,0.636,75,2.31,78,1.24,78,27.70,80,-0.17,2.99,102,-1.26
Adams St,Rocky Mtn AC,6-5,0.545,76,2.31,72,3.13,97,25.31,48,4.11,2.88,97,-0.79
Urbana,Great Lakes FC,8-3,0.727,77,2.29,70,3.52,74,28.83,69,0.98,3.10,141,-8.83
Newberry,South Atlantic,4-6,0.400,78,2.25,76,2.80,75,28.76,76,0.33,2.84,67,3.48
Lake Erie,Great Lakes IAC,3-8,0.273,79,2.21,83,0.53,55,31.20,121,-4.38,2.96,16,12.14
SW Baptist,NCAA II Ind,6-5,0.545,80,2.17,84,0.49,81,27.60,89,-0.81,2.92,93,-0.20
Wingate,South Atlantic,5-6,0.455,81,2.15,86,-0.48,56,31.18,129,-5.36,2.85,69,3.34
Ark Monticello,Great American,5-6,0.455,82,2.15,82,0.85,85,26.76,75,0.39,2.98,96,-0.49
S Connecticut,Northeast-10,7-3,0.700,83,2.12,85,0.11,70,29.10,103,-2.70,2.91,137,-7.33
SW Minnesota,Northern Sun,3-8,0.273,84,2.08,87,-0.51,67,29.50,115,-3.72,2.87,35,8.55
Tusculum,South Atlantic,3-8,0.273,85,2.00,79,1.07,51,31.26,117,-3.90,2.92,53,6.31
Mercyhurst,Penn St AC,4-7,0.364,86,1.98,81,1.01,79,27.69,83,-0.39,2.82,94,-0.35
Arkansas Tech,Great American,2-8,0.200,87,1.97,80,1.03,83,27.01,78,0.31,2.82,48,6.84
Morehouse,Southern IAC,8-2,0.800,88,1.96,95,-2.27,95,25.41,93,-1.39,2.96,150,-10.10
Eliz. City St,Central IAA,8-4,0.667,89,1.93,96,-2.83,106,23.94,84,-0.48,2.98,120,-4.45
S Arkansas,Great American,3-7,0.300,90,1.91,92,-1.79,80,27.65,111,-3.15,2.91,59,5.00
Fairmont St,West Virginia IAC,7-4,0.636,91,1.87,91,-1.62,101,25.03,82,-0.36,2.88,136,-7.22
Simon Fraser,Great Northwest,3-7,0.300,92,1.86,98,-3.10,88,26.31,110,-3.12,2.99,47,6.91
CO Mesa,Rocky Mtn AC,4-7,0.364,93,1.85,93,-1.92,115,22.81,65,1.57,2.79,71,2.89
SW Oklahoma,Great American,5-6,0.455,94,1.82,112,-5.22,109,23.60,101,-2.52,2.89,76,2.13
Glenville St,West Virginia IAC,5-6,0.455,95,1.81,99,-3.23,73,28.86,133,-5.80,2.90,92,-0.13
American Intl,Northeast-10,6-4,0.600,96,1.79,101,-3.71,103,24.68,98,-2.10,2.88,121,-5.90
Bentley,Northeast-10,6-4,0.600,97,1.75,94,-2.01,100,25.08,87,-0.79,2.97,156,-12.11
E New Mexico,Lone Star,2-9,0.182,98,1.74,89,-1.34,69,29.14,120,-4.19,2.87,34,8.56
SE Oklahoma,Great American,2-8,0.200,99,1.73,90,-1.41,107,23.91,70,0.97,2.85,72,2.87
W New Mexico,Rocky Mtn AC,5-6,0.455,100,1.72,107,-4.38,117,22.66,85,-0.75,2.91,91,0.01
Utah Tech,Great Northwest,1-10,0.091,101,1.71,88,-0.61,61,30.22,123,-4.53,2.78,39,8.17
Albany GA,Southern IAC,8-4,0.667,102,1.70,108,-4.38,96,25.38,113,-3.47,3.05,133,-6.71
Charleston WV,West Virginia IAC,5-6,0.455,103,1.68,105,-4.24,94,25.43,112,-3.37,2.83,105,-1.91
C Oklahoma,NCAA II Ind,2-9,0.182,104,1.68,97,-2.92,102,24.90,94,-1.52,2.78,36,8.22
Catawba,South Atlantic,3-8,0.273,105,1.68,106,-4.38,116,22.72,88,-0.81,2.84,63,4.34
Merrimack,Northeast-10,6-4,0.600,106,1.67,102,-3.93,65,29.71,141,-7.35,3.04,154,-10.97
Gannon,Penn St AC,4-7,0.364,107,1.65,109,-4.58,124,21.16,73,0.56,2.91,95,-0.43
Incarnate Word,Lone Star,2-8,0.200,108,1.61,117,-6.45,99,25.08,128,-5.24,2.94,24,10.34
Upper Iowa,Northern Sun,3-8,0.273,109,1.60,110,-4.80,90,26.01,122,-4.52,2.80,56,5.62
Walsh,NCAA II Ind,5-6,0.455,110,1.58,104,-4.16,119,22.42,81,-0.29,2.96,126,-6.17
E Stroudsburg,Penn St AC,3-8,0.273,111,1.53,103,-4.02,98,25.14,105,-2.86,2.91,106,-2.02
TX A&M Commerce,Lone Star,1-9,0.100,112,1.51,100,-3.36,91,25.84,106,-2.91,2.90,28,9.44
Clarion,Penn St AC,3-8,0.273,113,1.45,114,-5.44,110,23.55,104,-2.70,2.89,89,0.22
Brevard,South Atlantic,3-8,0.273,114,1.45,111,-5.20,105,24.02,107,-2.93,2.88,100,-1.07
Missouri S&T,Great Lakes FC,6-5,0.545,115,1.45,118,-6.80,111,23.52,118,-4.03,2.97,119,-4.28
NM Highlands,Rocky Mtn AC,4-7,0.364,116,1.33,120,-8.17,120,22.20,119,-4.07,2.90,99,-1.02
Tuskegee,Southern IAC,4-6,0.400,117,1.31,113,-5.30,131,19.66,66,1.33,2.84,135,-6.98
St Augustine's,Central IAA,4-6,0.400,118,1.29,116,-6.18,121,22.07,97,-1.96,3.02,139,-8.11
Fort Valley St,Southern IAC,2-8,0.200,119,1.16,115,-5.46,113,23.12,100,-2.29,2.90,104,-1.63
Miles,Southern IAC,7-5,0.583,120,1.12,125,-10.70,139,18.22,102,-2.63,3.00,151,-10.12
Fayetteville St,Central IAA,4-6,0.400,121,1.10,122,-8.96,112,23.36,134,-6.03,2.93,132,-6.68
Virginia St,Central IAA,5-5,0.500,122,1.05,124,-10.55,141,17.33,95,-1.59,3.02,131,-6.68
Kentucky St,Southern IAC,6-4,0.600,123,1.02,128,-11.21,126,20.50,130,-5.42,2.99,157,-12.55
Stillman,Southern IAC,7-4,0.636,124,1.01,132,-12.83,146,15.74,99,-2.27,2.97,143,-9.18
Shaw NC,Central IAA,3-7,0.300,125,0.98,119,-7.44,122,21.91,109,-3.05,2.90,145,-9.49
Bowie St,Central IAA,4-6,0.400,126,0.96,123,-9.66,127,20.33,114,-3.69,2.91,147,-9.89
Assumption,Northeast-10,4-6,0.400,127,0.91,127,-11.15,128,20.11,125,-4.97,2.86,146,-9.56
West Liberty,West Virginia IAC,1-10,0.091,128,0.90,121,-8.33,108,23.73,132,-5.77,2.79,101,-1.11
Ft Lewis,Rocky Mtn AC,3-8,0.273,129,0.89,134,-13.16,136,18.81,131,-5.68,2.72,77,2.12
Minot St,NCAA II Ind,2-8,0.200,130,0.88,126,-10.82,143,17.13,96,-1.66,2.89,68,3.44
Moorhead St,Northern Sun,2-9,0.182,131,0.86,130,-11.72,123,21.81,140,-7.24,2.71,61,4.44
Virginia Union,Central IAA,5-5,0.500,132,0.86,133,-13.04,129,20.06,138,-6.80,2.93,149,-9.97
Stonehill,Northeast-10,4-7,0.364,133,0.78,129,-11.61,132,19.61,124,-4.92,2.98,155,-11.80
JC Smith,Central IAA,6-5,0.545,134,0.76,142,-16.12,135,18.83,144,-8.66,2.93,144,-9.25
Western St CO,Rocky Mtn AC,1-10,0.091,135,0.68,131,-12.81,137,18.65,127,-5.17,2.87,62,4.39
Wm Jewell,NCAA II Ind,4-6,0.400,136,0.60,141,-15.66,151,14.51,116,-3.88,2.85,125,-6.08
Chowan,Central IAA,3-7,0.300,137,0.54,139,-15.28,118,22.43,152,-11.41,2.95,140,-8.55
Clark Atlanta,Southern IAC,2-8,0.200,138,0.53,135,-13.70,156,12.09,74,0.51,2.91,130,-6.63
Notre Dame OH,NCAA II Ind,5-6,0.455,139,0.50,140,-15.39,142,17.14,136,-6.24,2.87,138,-8.02
MN Crookston,Northern Sun,1-10,0.091,140,0.49,137,-14.57,133,19.50,142,-7.78,2.84,65,3.87
Lane,Southern IAC,3-6,0.333,141,0.44,145,-17.28,153,14.05,126,-5.04,2.94,153,-10.75
Black Hills St,NCAA II Ind,3-7,0.300,142,0.43,143,-16.50,144,16.88,139,-7.08,2.87,123,-5.98
Tiffin,Great Lakes IAC,0-11,0.000,143,0.43,136,-14.10,114,22.98,151,-10.79,2.78,22,11.02
Seton Hill,West Virginia IAC,1-10,0.091,144,0.42,138,-14.91,125,20.96,148,-9.58,2.74,110,-2.46
Millersville,Penn St AC,3-8,0.273,145,0.37,150,-20.27,152,14.33,143,-8.31,2.74,107,-2.03
St Joseph's IN,Great Lakes FC,2-8,0.200,146,0.26,144,-16.71,138,18.45,146,-8.87,2.86,122,-5.91
Benedict,Southern IAC,2-8,0.200,147,0.22,146,-17.58,150,14.93,135,-6.22,2.86,148,-9.91
WV State,West Virginia IAC,1-9,0.100,148,0.17,147,-17.76,140,17.70,147,-9.16,2.91,118,-4.05
Lincoln PA,Central IAA,2-8,0.200,149,0.07,148,-19.20,155,13.80,137,-6.71,2.99,152,-10.73
Central St OH,NCAA II Ind,1-10,0.091,150,0.02,152,-20.83,147,15.22,150,-9.76,2.94,86,0.54
Cheyney St,Penn St AC,1-10,0.091,151,-0.01,149,-19.76,148,15.21,145,-8.68,2.85,88,0.50
St Anselm,Northeast-10,1-9,0.100,152,-0.09,151,-20.58,134,19.13,155,-13.42,2.74,111,-2.65
Lincoln MO,Mid America IAA,1-10,0.091,153,-0.18,154,-22.54,130,19.78,158,-16.03,2.99,8,14.15
KY Wesleyan,Great Lakes FC,1-10,0.091,154,-0.26,153,-20.91,149,15.14,149,-9.75,2.71,129,-6.50
Panhandle St,NCAA II Ind,3-7,0.300,155,-0.30,156,-24.11,154,13.98,153,-11.80,2.97,159,-14.26
Lock Haven,Penn St AC,0-10,0.000,156,-0.42,155,-22.83,145,15.81,154,-12.34,2.78,78,2.06
Livingstone,Central IAA,1-9,0.100,157,-0.99,158,-31.89,159,8.29,156,-13.89,2.93,142,-9.14
Pace,Northeast-10,1-9,0.100,158,-1.13,159,-34.15,158,10.56,159,-18.42,2.79,128,-6.26
S Dakota Tech,NCAA II Ind,1-10,0.091,159,-1.16,157,-30.64,157,11.43,157,-15.78,2.88,158,-13.31
