Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
Concord,Mountain East,2-9,0.182,146,3.19,147,-11.95,98,27.12,159,-10.64,2.52,133,-2.37
Seton Hill,Penn St AC,1-10,0.091,147,3.18,146,-11.80,95,27.66,160,-11.03,2.36,83,3.35
WV Wesleyan,Mountain East,1-10,0.091,148,3.16,137,-10.38,106,26.09,144,-8.03,2.42,104,0.39
Lane,Southern IAC,3-6,0.333,149,3.14,156,-17.69,163,14.13,127,-3.38,2.29,158,-8.40
NE Oklahoma,Mid America IAA,0-11,0.000,150,3.13,144,-11.68,115,24.73,143,-7.97,2.42,20,14.08
KY Wesleyan,Great Midwest,3-7,0.300,151,3.12,155,-17.40,148,19.93,150,-8.89,2.43,146,-4.92
SW Baptist,Great Lakes Val,0-10,0.000,152,3.10,127,-7.86,127,23.65,124,-3.07,2.40,93,2.06
Limestone,South Atlantic,0-10,0.000,153,3.10,139,-10.55,104,26.16,146,-8.27,2.26,56,7.54
American Intl,Northeast-10,1-8,0.111,154,3.04,150,-13.89,156,17.35,122,-2.81,2.37,135,-2.51
Shorter,Gulf South,0-11,0.000,155,2.97,151,-14.56,125,23.88,157,-10.00,2.31,32,10.42
Simon Fraser,Great Northwest,1-9,0.100,156,2.85,158,-18.13,149,19.90,154,-9.59,2.42,115,-0.34
St Anselm,Northeast-10,1-8,0.111,157,2.80,157,-18.11,143,20.56,158,-10.23,2.35,145,-4.91
St Augustine's,Central IAA,2-7,0.222,158,2.78,159,-21.03,160,15.93,148,-8.52,2.35,159,-9.53
Kentucky St,Southern IAC,0-10,0.000,159,2.62,154,-16.02,157,17.32,137,-4.90,2.38,152,-6.92
Livingstone,Central IAA,3-6,0.333,160,2.61,161,-23.86,164,13.87,153,-9.29,2.36,167,-18.67
JC Smith,Central IAA,2-8,0.200,161,2.57,163,-24.53,165,13.72,156,-9.81,2.45,166,-11.88
Eliz. City St,Central IAA,1-7,0.125,162,2.48,160,-23.29,162,14.32,151,-9.17,2.39,164,-11.76
Mary ND,Northern Sun,1-10,0.091,163,2.46,164,-24.55,159,16.32,163,-12.44,2.44,154,-7.69
Minot St,Northern Sun,1-10,0.091,164,2.42,165,-24.65,155,17.75,164,-13.96,2.38,157,-8.00
Lake Erie,Great Midwest,0-11,0.000,165,2.37,162,-24.26,161,15.81,162,-11.63,2.40,121,-1.12
MN Crookston,Northern Sun,1-10,0.091,166,2.17,166,-32.82,166,11.32,166,-15.70,2.41,151,-6.86
Lincoln PA,Central IAA,1-9,0.100,167,1.82,167,-39.18,167,9.40,167,-20.15,2.46,165,-11.77
