Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
Louisiana,Sun Belt,6-6,0.500,104,5.44,111,31.76,106,42.29,108,14.84,2.67,113,37.72
Kent,Mid-American,5-7,0.417,105,5.43,107,32.86,113,39.65,87,18.58,2.74,118,36.60
Memphis,Conference USA,2-10,0.167,106,5.39,104,33.81,99,43.61,107,15.57,2.69,77,43.34
Arkansas St,Sun Belt,4-8,0.333,107,5.39,102,34.31,111,40.40,83,19.29,2.75,120,35.60
New Mexico,Mountain West,1-11,0.083,108,5.27,103,34.09,108,42.20,98,17.26,2.60,50,47.22
Washington St,Pac 10,1-11,0.083,109,5.25,112,30.77,112,40.37,106,15.77,2.65,7,51.77
Akron,Mid-American,3-9,0.250,110,5.21,110,32.05,109,40.94,103,16.48,2.64,108,38.20
Florida Intl,Sun Belt,3-9,0.250,111,5.19,109,32.42,102,43.08,110,14.72,2.65,86,41.79
Rice,Conference USA,2-10,0.167,112,5.12,114,29.66,96,44.19,118,10.84,2.55,67,45.20
Ball St,Mid-American,2-10,0.167,113,5.12,105,33.21,110,40.79,92,17.79,2.54,112,37.85
San Jose St,Western Athletic,2-10,0.167,114,4.99,113,30.15,118,37.63,91,17.90,2.63,72,43.82
Tulane,Conference USA,3-9,0.250,115,4.89,117,25.90,117,38.08,114,13.19,2.60,84,42.12
Miami OH,Mid-American,1-11,0.083,116,4.82,115,28.23,115,38.77,109,14.83,2.67,78,43.23
North Texas,Sun Belt,2-10,0.167,117,4.75,116,28.15,94,44.26,120,9.27,2.68,114,37.72
New Mexico St,Western Athletic,3-10,0.231,118,4.66,118,24.44,120,35.20,111,14.61,2.56,98,39.79
E Michigan,Mid-American,0-12,0.000,119,4.09,120,23.35,114,38.81,119,9.91,2.64,93,40.41
WKU,Sun Belt,0-12,0.000,120,4.08,119,24.33,116,38.66,116,11.04,2.60,105,38.74
