Team,,Record,,&Delta;,Rat,,Pwr,,Off,,Def,,HFA,SoS,
New Hampshire,Coastal,3-8,0.273,-3,65,5.71,68,27.47,82,38.08,46,16.86,2.32,29,37.10
Charleston So,Big South,4-6,0.400,+4,66,5.70,60,28.65,70,39.71,55,16.41,2.19,64,30.62
NC A&T,Big South,5-6,0.455,+6,67,5.69,67,27.55,79,38.76,57,16.27,2.17,74,27.96
Idaho St,Big Sky,1-10,0.091,-7,68,5.66,57,30.24,62,41.13,52,16.59,2.29,11,43.44
SUNY Albany,Coastal,2-9,0.182,-4,69,5.63,58,30.06,68,39.86,43,17.67,2.19,38,35.88
Duquesne,Northeast,7-3,0.700,+10,70,5.58,80,22.32,81,38.24,87,11.56,2.10,103,19.36
Sacred Heart,Northeast,8-4,0.667,+11,71,5.57,76,23.80,114,32.15,36,19.13,2.15,113,16.50
Fordham,Patriot League,6-5,0.545,-5,72,5.57,73,24.72,33,45.78,108,6.42,2.19,87,25.30
S Carolina St,Mid-Eastern AC,7-5,0.583,+3,73,5.57,81,22.29,92,36.05,73,13.71,2.11,93,22.15
Southern Utah,Big Sky,1-10,0.091,-6,74,5.51,61,28.53,47,43.67,82,12.33,2.26,17,40.83
Northwestern LA,Southland,3-8,0.273,,75,5.49,77,23.66,88,37.02,70,14.11,2.13,55,32.73
North Alabama,Big South,3-8,0.273,-5,76,5.49,71,27.11,50,43.03,88,11.55,2.16,61,30.97
Tennessee St,OH Valley,5-6,0.455,-3,77,5.48,84,21.27,95,35.72,80,13.03,2.18,78,26.80
Wofford,Southern,1-10,0.091,,78,5.45,59,29.19,61,41.33,65,15.33,2.12,32,36.57
Cal Poly,Big Sky,2-9,0.182,-7,79,5.45,78,22.76,67,40.01,92,10.22,2.25,21,39.90
Bryant,Northeast,7-4,0.636,+4,80,5.43,87,20.61,93,36.00,84,12.08,2.16,108,18.39
Prairie View,Southwestern AC,7-5,0.583,+6,81,5.39,86,20.93,90,36.62,86,11.78,2.09,97,20.43
Campbell,Big South,3-8,0.273,-3,82,5.38,75,24.67,78,38.79,77,13.36,2.11,67,29.66
Penn,Ivy League,3-7,0.300,-6,83,5.37,72,24.99,98,35.12,44,17.34,2.18,82,26.50
Gardner Webb,Big South,4-7,0.364,-3,84,5.36,79,22.37,69,39.72,93,10.13,2.19,84,26.15
Colgate,Patriot League,5-6,0.455,-2,85,5.35,88,20.00,107,33.93,74,13.55,2.19,89,24.24
Alcorn St,Southwestern AC,6-5,0.545,+3,86,5.33,85,21.11,86,37.58,90,11.00,2.16,101,19.45
Alabama A&M,Southwestern AC,7-3,0.700,+1,87,5.32,91,19.16,40,45.20,123,1.44,2.08,118,15.46
St Thomas MN,Pioneer,7-3,0.700,+22,88,5.29,94,18.76,110,32.98,79,13.25,2.15,120,13.78
San Diego,Pioneer,7-4,0.636,+11,89,5.27,93,18.78,99,34.85,89,11.40,2.12,116,15.88
St Francis PA,Northeast,5-6,0.455,+4,90,5.27,82,22.17,106,34.00,64,15.65,2.20,105,19.05
Robert Morris,Big South,4-6,0.400,+1,91,5.24,101,15.86,105,34.17,96,9.16,2.13,77,27.08
Hampton,Big South,5-6,0.455,+4,92,5.23,92,18.82,74,39.42,104,6.87,2.17,91,22.88
Davidson,Pioneer,8-3,0.727,+12,93,5.20,107,15.07,83,37.90,116,4.64,2.05,121,13.52
Cornell,Ivy League,2-8,0.200,-8,94,5.16,83,21.88,94,35.91,76,13.45,2.16,70,28.62
Norfolk St,Mid-Eastern AC,6-5,0.545,,95,5.15,96,18.42,64,40.98,113,4.91,2.09,111,17.17
Tennessee Tech,OH Valley,3-8,0.273,-6,96,5.14,98,18.16,101,34.66,91,10.98,2.16,81,26.58
Lafayette,Patriot League,3-8,0.273,-6,97,5.10,99,17.96,112,32.16,78,13.27,2.18,85,26.10
Grambling,Southwestern AC,4-7,0.364,+4,98,5.08,105,15.38,117,30.72,83,12.13,2.24,90,23.25
Lehigh,Patriot League,3-8,0.273,-2,99,5.07,109,14.91,123,28.24,68,14.15,2.20,75,27.56
NC Central,Mid-Eastern AC,6-5,0.545,-1,100,5.05,108,15.02,100,34.66,102,7.83,2.11,115,16.03
Southern Univ,Southwestern AC,4-7,0.364,+2,101,5.04,90,19.51,71,39.63,103,7.35,2.20,100,19.54
Lamar,Western Athletic,2-9,0.182,-1,102,5.02,103,15.78,104,34.19,98,9.07,2.20,65,30.60
E Illinois,OH Valley,1-10,0.091,-10,103,5.01,89,19.78,102,34.40,81,12.86,2.14,59,31.53
Central Conn,Northeast,4-7,0.364,+2,104,4.98,100,17.34,96,35.66,97,9.15,2.11,104,19.18
Utah Tech,Western Athletic,1-10,0.091,-7,105,4.97,97,18.30,76,39.04,106,6.73,2.11,43,34.75
Dayton,Pioneer,6-4,0.600,+6,106,4.95,106,15.20,84,37.86,114,4.81,2.15,122,12.60
Brown,Ivy League,2-8,0.200,-22,107,4.95,95,18.62,32,45.86,126,0.24,2.19,76,27.31
Alabama St,Southwestern AC,5-6,0.455,-4,108,4.92,110,13.78,116,31.85,95,9.40,2.15,114,16.21
Morehead St,Pioneer,7-4,0.636,+6,109,4.91,116,10.50,103,34.24,120,3.74,2.14,125,11.54
Merrimack,Northeast,5-6,0.455,+3,110,4.87,112,11.71,109,33.18,110,6.00,2.03,110,17.30
MS Valley St,Southwestern AC,4-7,0.364,-3,111,4.82,120,8.35,120,29.82,109,6.00,2.16,96,21.84
Delaware St,Mid-Eastern AC,5-6,0.455,+4,112,4.73,115,10.64,119,30.05,101,8.06,2.24,123,12.23
Marist,Pioneer,5-5,0.500,+7,113,4.73,119,10.02,121,29.00,100,8.49,2.15,124,11.87
Bethune-Cookman,Southwestern AC,2-9,0.182,-7,114,4.70,104,15.41,77,38.92,118,3.96,2.13,92,22.34
Valparaiso,Pioneer,4-7,0.364,+3,115,4.63,118,10.18,108,33.66,117,3.99,2.19,119,15.15
TX Southern,Southwestern AC,3-8,0.273,-7,116,4.63,111,12.68,75,39.11,124,1.04,2.19,109,17.67
Howard,Mid-Eastern AC,3-8,0.273,-3,117,4.60,114,11.17,111,32.92,112,5.72,2.17,112,16.93
Georgetown,Patriot League,2-8,0.200,-1,118,4.59,113,11.50,113,32.16,105,6.81,2.17,99,20.10
Houston Chr,Southland,0-11,0.000,-8,119,4.59,102,15.83,87,37.33,111,5.97,2.15,60,30.99
Morgan St,Mid-Eastern AC,2-9,0.182,-1,120,4.50,122,7.37,125,28.14,107,6.70,2.23,95,21.97
Drake,Pioneer,2-8,0.200,+3,121,4.50,117,10.37,128,24.39,75,13.45,2.07,117,15.82
LIU Post,Northeast,2-8,0.200,+1,122,4.44,123,5.99,118,30.27,121,3.19,2.17,94,22.15
Ark Pine Bluff,Southwestern AC,2-9,0.182,-2,123,4.42,121,8.35,115,31.95,119,3.87,2.07,107,18.55
Bucknell,Patriot League,1-10,0.091,-2,124,4.34,124,5.29,126,28.07,115,4.69,2.22,86,26.02
Stetson,Pioneer,3-7,0.300,+2,125,4.06,126,1.42,124,28.21,125,0.69,2.14,127,7.14
Butler,Pioneer,3-8,0.273,-1,126,4.05,127,0.72,122,28.89,127,-0.70,2.07,126,8.70
Wagner,Northeast,0-11,0.000,-1,127,3.83,125,1.96,127,26.74,122,2.70,2.23,98,20.40
Presbyterian,Pioneer,2-9,0.182,,128,3.70,128,-0.42,89,36.89,128,-9.84,2.27,128,4.12
