Team,,Record,,&Delta;,Rat,,Pwr,,Off,,Def,,HFA,SoS,
Oregon,Pac 12,4-3,0.571,,22,8.06,20,66.08,20,61.19,23,32.52,2.22,27,62.06
Washington,Pac 12,3-1,0.750,+1,23,8.05,18,66.12,29,59.53,17,34.21,2.19,57,55.86
Utah,Pac 12,3-2,0.600,+4,24,8.02,19,66.10,32,58.98,14,34.74,2.20,41,60.30
Miami FL,Atlantic Coast,8-3,0.727,+5,25,7.98,32,61.04,34,58.91,44,29.76,2.23,52,57.80
Penn St,Big 10,4-5,0.444,-5,26,7.94,14,68.07,11,62.29,20,33.42,2.23,26,62.07
West Virginia,Big 12,6-4,0.600,+4,27,7.92,30,61.66,61,55.06,16,34.23,2.34,51,58.16
Stanford,Pac 12,4-2,0.667,+1,28,7.89,38,59.28,37,58.33,48,28.58,2.26,36,61.07
Mississippi,Southeastern,5-5,0.500,-4,29,7.88,28,62.53,9,65.27,78,24.88,2.24,23,62.59
North Carolina,Atlantic Coast,8-4,0.667,+4,30,7.85,31,61.34,10,63.41,71,25.56,2.21,55,56.31
Louisiana,Sun Belt,10-1,0.909,+18,31,7.82,65,54.09,67,54.72,56,26.99,2.11,93,47.93
Kentucky,Southeastern,5-6,0.455,+4,32,7.78,40,58.95,77,53.40,21,33.17,2.19,29,61.80
Arizona St,Pac 12,2-2,0.500,+4,33,7.73,27,62.62,35,58.69,31,31.56,2.25,50,58.44
Ball St,Mid-American,7-1,0.875,+26,34,7.73,70,52.82,56,55.74,80,24.71,2.13,85,49.57
Missouri,Southeastern,5-5,0.500,-3,35,7.72,43,58.27,44,57.26,47,28.64,2.31,33,61.48
Coastal Car,Sun Belt,11-1,0.917,+28,36,7.71,68,52.91,68,54.68,65,25.86,2.07,95,47.33
Minnesota,Big 10,3-4,0.429,-11,37,7.71,29,61.84,30,59.45,41,30.01,2.13,32,61.71
Michigan,Big 10,2-4,0.333,-11,38,7.71,23,65.32,19,61.34,30,31.61,2.28,24,62.55
Mississippi St,Southeastern,4-7,0.364,-4,39,7.70,36,59.63,58,55.38,27,31.88,2.28,15,63.26
Boise St,Mountain West,5-2,0.714,+11,40,7.70,35,59.81,33,58.93,49,28.50,2.14,70,53.48
San Jose St,Mountain West,7-1,0.875,+6,41,7.69,74,51.92,82,52.83,59,26.72,2.24,77,51.10
Tulsa,American Athletic,6-3,0.667,,42,7.66,56,56.25,76,53.51,37,30.37,2.12,62,55.24
Colorado,Pac 12,4-2,0.667,+7,43,7.65,60,55.00,50,56.54,63,26.09,2.31,49,58.66
Kansas St,Big 12,4-6,0.400,-6,44,7.64,39,59.08,46,56.93,43,29.77,2.22,30,61.78
Memphis,American Athletic,8-3,0.727,+12,45,7.64,58,55.77,48,56.68,58,26.72,2.30,84,49.69
Nebraska,Big 10,3-5,0.375,-13,46,7.63,41,58.84,51,56.30,40,30.16,2.20,14,63.28
UCF,American Athletic,6-4,0.600,+8,47,7.62,34,60.24,8,65.29,98,22.58,2.07,64,54.83
NC State,Atlantic Coast,8-4,0.667,+5,48,7.62,62,54.67,55,55.78,61,26.52,2.29,66,54.12
Pittsburgh,Atlantic Coast,6-5,0.545,+3,49,7.61,49,57.25,72,54.35,36,30.53,2.20,60,55.43
Appalachian St,Sun Belt,9-3,0.750,+23,50,7.56,45,57.41,57,55.54,46,29.50,2.10,108,44.49
Michigan St,Big 10,2-5,0.286,-12,51,7.55,46,57.36,70,54.66,38,30.33,2.20,3,66.13
Nevada,Mountain West,7-2,0.778,+16,52,7.53,75,51.34,79,53.23,69,25.73,2.25,90,48.59
UCLA,Pac 12,3-4,0.429,-7,53,7.53,37,59.48,13,61.97,75,25.13,2.25,48,58.83
Baylor,Big 12,2-7,0.222,-14,54,7.53,33,60.94,47,56.89,29,31.68,2.15,12,63.48
Boston College,Atlantic Coast,6-5,0.545,+4,55,7.51,61,54.74,59,55.23,54,27.13,2.14,59,55.52
Virginia,Atlantic Coast,5-5,0.500,+2,56,7.51,53,56.63,53,56.18,51,28.07,2.20,61,55.41
Tennessee,Southeastern,3-7,0.300,-12,57,7.50,48,57.26,73,54.21,34,30.68,2.17,17,63.13
Buffalo,Mid-American,6-1,0.857,+17,58,7.50,63,54.47,54,56.12,64,25.97,2.25,111,43.37
Virginia Tech,Atlantic Coast,5-6,0.455,+2,59,7.50,47,57.30,40,57.87,55,27.06,2.26,53,57.16
Liberty,FBS Indep,10-1,0.909,+17,60,7.50,85,49.45,71,54.46,97,22.62,2.15,121,41.11
Arkansas,Southeastern,3-7,0.300,-20,61,7.48,59,55.48,43,57.31,66,25.80,2.21,4,65.39
Army,FBS Indep,9-3,0.750,+10,62,7.46,71,52.80,102,49.87,35,30.55,2.04,107,44.55
Texas Tech,Big 12,4-6,0.400,-20,63,7.46,54,56.39,28,59.72,83,24.30,2.31,46,59.40
Wake Forest,Atlantic Coast,4-5,0.444,-8,64,7.44,52,56.74,22,60.73,92,23.64,2.16,54,56.72
Washington St,Pac 12,1-3,0.250,-11,65,7.40,42,58.61,23,60.71,72,25.53,2.36,18,63.03
SMU,American Athletic,7-3,0.700,+3,66,7.39,69,52.87,25,59.79,106,20.70,2.27,89,48.89
San Diego St,Mountain West,4-4,0.500,+7,67,7.37,55,56.26,104,49.66,15,34.23,2.13,83,49.83
Purdue,Big 10,2-4,0.333,-24,68,7.37,51,57.05,39,57.89,57,26.79,2.17,47,59.13
California,Pac 12,1-3,0.250,-6,69,7.37,50,57.16,89,52.03,22,32.75,2.27,44,59.82
Air Force,Mountain West,3-3,0.500,,70,7.35,44,57.51,83,52.80,25,32.34,2.22,87,49.40
Maryland,Big 10,2-3,0.400,-23,71,7.33,72,52.40,63,54.95,76,25.07,2.27,28,61.83
Louisville,Atlantic Coast,4-7,0.364,-1,72,7.27,57,55.94,45,57.15,62,26.42,2.30,65,54.62
Rutgers,Big 10,3-6,0.333,-7,73,7.23,83,50.11,90,52.00,68,25.74,2.24,42,60.16
Oregon St,Pac 12,2-5,0.286,-7,74,7.23,64,54.40,36,58.36,91,23.67,2.21,43,60.02
Hawaii,Mountain West,5-4,0.556,+3,75,7.23,86,49.07,81,52.95,88,23.75,2.18,78,50.26
South Carolina,Southeastern,2-8,0.200,-14,76,7.21,66,53.92,65,54.91,60,26.64,2.22,25,62.07
Tulane,American Athletic,6-6,0.500,-1,77,7.20,67,53.28,49,56.60,82,24.30,2.31,82,49.96
Illinois,Big 10,2-6,0.250,-13,78,7.20,79,50.63,78,53.39,79,24.87,2.23,19,62.92
UAB,Conference USA,6-3,0.667,+10,79,7.18,92,47.32,103,49.76,74,25.19,2.28,106,44.85
Toledo,Mid-American,4-2,0.667,+7,80,7.18,80,50.61,74,54.09,85,24.15,2.30,104,45.34
W Michigan,Mid-American,4-2,0.667,+7,81,7.14,82,50.12,38,58.11,107,19.63,2.22,99,45.95
Marshall,Conference USA,7-3,0.700,+8,82,7.12,84,49.80,116,47.90,45,29.53,2.19,122,40.83
Ga Southern,Sun Belt,8-5,0.615,+3,83,7.12,87,48.87,106,49.19,52,27.31,2.23,114,42.71
Miami OH,Mid-American,2-1,0.667,,84,7.07,90,47.75,96,50.41,77,24.97,2.20,100,45.75
Houston,American Athletic,3-5,0.375,-4,85,7.06,77,51.09,62,55.02,89,23.70,2.30,67,54.00
Florida St,Atlantic Coast,3-6,0.333,-7,86,7.04,78,50.65,75,54.09,84,24.19,2.29,68,53.65
Fresno St,Mountain West,3-3,0.500,-4,87,7.00,76,51.18,60,55.11,90,23.69,2.22,98,46.26
Georgia St,Sun Belt,6-4,0.600,+4,88,6.99,100,45.55,64,54.92,114,18.26,2.15,101,45.64
Navy,American Athletic,3-7,0.300,-9,89,6.98,88,48.57,108,49.03,53,27.16,2.25,69,53.53
Georgia Tech,Atlantic Coast,3-7,0.300,-8,90,6.97,91,47.45,93,51.51,94,23.56,2.32,58,55.76
Wyoming,Mountain West,2-4,0.333,-6,91,6.97,73,52.35,100,50.02,42,29.96,2.21,92,48.00
C Michigan,Mid-American,3-3,0.500,+7,92,6.96,95,47.12,86,52.36,99,22.39,2.23,91,48.24
Ohio,Mid-American,2-1,0.667,+9,93,6.93,81,50.22,84,52.66,73,25.19,2.12,127,34.73
FL Atlantic,Conference USA,5-4,0.556,,94,6.92,97,46.48,119,45.98,50,28.12,2.16,119,42.07
Troy,Sun Belt,5-6,0.455,+10,95,6.86,94,47.20,98,50.38,81,24.45,2.10,103,45.41
Kent,Mid-American,3-1,0.750,,96,6.83,102,44.92,52,56.28,120,16.28,2.22,124,39.81
UT San Antonio,Conference USA,7-5,0.583,+10,97,6.79,111,41.46,114,47.96,102,21.13,2.22,115,42.70
Colorado St,Mountain West,1-3,0.250,-7,98,6.77,99,45.70,87,52.35,105,20.98,2.27,63,55.19
WKU,Conference USA,5-7,0.417,+11,99,6.71,108,42.42,121,44.33,70,25.72,2.23,105,45.20
E Michigan,Mid-American,2-4,0.333,+6,100,6.70,98,46.05,85,52.61,103,21.07,2.06,94,47.60
East Carolina,American Athletic,3-6,0.333,-4,101,6.70,106,43.55,88,52.31,110,18.87,2.30,79,50.22
Duke,Atlantic Coast,2-9,0.182,-9,102,6.69,96,46.78,80,52.95,101,21.45,2.14,71,53.28
Arkansas St,Sun Belt,4-7,0.364,+5,103,6.67,103,44.91,66,54.77,115,17.76,2.23,97,46.48
Louisiana Tech,Conference USA,5-5,0.500,+8,104,6.67,113,41.07,101,49.88,111,18.82,2.17,109,44.05
New Mexico,Mountain West,2-5,0.286,-4,105,6.66,109,42.02,99,50.28,108,19.37,2.24,74,51.76
Syracuse,Atlantic Coast,1-10,0.091,-8,106,6.64,93,47.27,107,49.15,67,25.74,2.26,56,55.90
Arizona,Pac 12,0-5,0.000,-12,107,6.61,89,47.85,92,51.87,93,23.60,2.36,45,59.76
Utah St,Mountain West,1-5,0.167,-4,108,6.59,101,44.98,97,50.38,100,22.23,2.30,73,52.00
South Alabama,Sun Belt,4-7,0.364,+5,109,6.51,118,37.44,123,42.43,96,22.64,2.28,102,45.52
Rice,Conference USA,2-3,0.400,+1,110,6.48,115,39.01,122,42.81,86,23.82,2.18,112,43.18
Temple,American Athletic,1-6,0.143,-2,111,6.48,105,43.92,110,48.68,95,22.87,2.28,81,49.98
Vanderbilt,Southeastern,0-9,0.000,-12,112,6.46,104,44.32,112,48.14,87,23.81,2.24,35,61.43
MTSU,Conference USA,3-6,0.333,+2,113,6.37,116,37.85,111,48.38,118,17.09,2.29,110,43.97
South Florida,American Athletic,1-8,0.111,-1,114,6.30,110,41.64,95,50.55,112,18.72,2.26,80,50.05
Kansas,Big 12,0-9,0.000,-12,115,6.27,112,41.45,94,50.63,113,18.45,2.26,40,60.32
Southern Miss,Conference USA,3-7,0.300,+1,116,6.27,114,39.55,115,47.92,109,19.26,2.22,123,40.00
Charlotte,Conference USA,2-4,0.333,-1,117,6.26,120,36.92,113,48.02,119,16.52,2.24,117,42.64
N Illinois,Mid-American,0-6,0.000,,118,6.18,107,42.67,105,49.24,104,21.06,2.28,88,49.13
Texas St,Sun Belt,2-10,0.167,+1,119,6.16,121,36.87,109,48.98,122,15.52,2.20,96,46.55
North Texas,Conference USA,4-6,0.400,+1,120,6.13,122,34.69,91,51.92,127,10.39,2.30,125,37.44
UNLV,Mountain West,0-6,0.000,-2,121,6.01,117,37.59,117,47.76,117,17.45,2.19,76,51.35
UTEP,Conference USA,3-5,0.375,+1,122,5.95,124,29.35,124,40.90,121,16.07,2.22,126,36.63
Florida Intl,Conference USA,0-5,0.000,-1,123,5.83,119,37.23,118,47.18,116,17.68,2.28,120,41.44
Akron,Mid-American,1-5,0.167,+1,124,5.71,125,27.27,126,39.55,123,15.34,2.28,118,42.41
ULM,Sun Belt,0-10,0.000,-1,125,5.48,123,30.43,120,45.03,124,13.03,2.28,113,42.97
Massachusetts,FBS Indep,0-4,0.000,,126,5.41,126,24.19,125,40.37,126,11.44,2.38,75,51.49
Bowling Green,Mid-American,0-5,0.000,,127,5.28,127,23.97,127,39.28,125,12.32,2.33,116,42.67
