parameter,rhat_pct,max_rhat,min_rhat,mean_ess,model_name,league
alpha_intercept,1,1.0005476801846047,1.0005476801846047,2164.7986609665927,model_2,ME
alpha_trend,1,1.000969060260372,1.000969060260372,2214.660781289961,model_2,ME
sigma_ai,1,1.0000226882253789,1.0000226882253789,5184.866142712289,model_2,ME
sigma_at,1,1.000065860406257,1.000065860406257,6417.622758463517,model_2,ME
sigma_m,1,0.999676685111235,0.999676685111235,4575.271588920625,model_2,ME
sigma_t,1,1.0008465114262697,1.0008465114262697,2927.8835060270617,model_2,ME
theta,1,1.0121682285865572,0.999721122008173,1049.507577354122,model_2,ME
alpha,1,1.001557460738573,0.9994647114691596,4468.7445896895,model_3,ME
sigma_a,1,1.0018563216079304,1.0018563216079304,2456.2618720832215,model_3,ME
sigma_m,1,1.0004342252693836,1.0004342252693836,3910.517529035197,model_3,ME
sigma_t,1,1.00040880983357,1.00040880983357,3141.8954155807223,model_3,ME
theta,1,1.009781837316821,0.9997647153096054,985.8789738700312,model_3,ME
alpha,1,1.0000089884801913,1.0000089884801913,7510.444064370387,model_1,MI
sigma_a,1,0.9994469467330094,0.9994469467330094,6550.832947699799,model_1,MI
sigma_m,1,0.999874857913438,0.999874857913438,3461.6302085235,model_1,MI
sigma_t,1,0.9997086328720022,0.9997086328720022,4746.674858109903,model_1,MI
theta,1,1.0038657799963275,0.999382040566832,4957.733528915294,model_1,MI
alpha_intercept,1,1.000447219728245,1.000447219728245,4975.378966895336,model_2,MI
alpha_trend,1,1.0005631077196355,1.0005631077196355,4652.985060043062,model_2,MI
sigma_ai,1,1.0001178229408698,1.0001178229408698,7218.113012616212,model_2,MI
sigma_at,1,0.9999925059032854,0.9999925059032854,6649.515332808441,model_2,MI
sigma_m,1,1.000472278999631,1.000472278999631,3892.463293210998,model_2,MI
sigma_t,1,1.0009057824834675,1.0009057824834675,3262.4582282767974,model_2,MI
theta,1,1.0058596100552295,0.9993815509662394,3946.902989590631,model_2,MI
alpha,1,1.000045309539249,0.9993812514290152,10130.581096255037,model_3,MI
sigma_a,1,1.0006400622223166,1.0006400622223166,6664.060403750525,model_3,MI
sigma_m,1,1.0003916120105645,1.0003916120105645,4652.466304240328,model_3,MI
sigma_t,1,1.0015698203937526,1.0015698203937526,3183.821870955952,model_3,MI
theta,1,1.0054621100339325,0.9993789680266948,4299.759972838334,model_3,MI
alpha,1,0.9996825980793902,0.9996825980793902,6394.604349578323,model_1,MN
sigma_a,1,0.999949426855823,0.999949426855823,5716.372066575401,model_1,MN
sigma_m,1,1.000057791616251,1.000057791616251,4130.1558945508905,model_1,MN
