league,elpd_diff_model_1,elpd_diff_model_2,elpd_diff_model_3,se_diff_model_1,se_diff_model_2,se_diff_model_3,n_se_model_1,n_se_model_2,n_se_model_3,league_group,ha_2023,ha_2023_lower,ha_2023_upper
NC,0,-1.47238518446573,-4.49568634236496,0,2.7789493285725,5.39258078847204,0,0.529835204020099,0.833679924086736,High School,1.4451658492754533,1.3128281439569662,1.5775138249942622
ND,0,-0.449218581455293,-9.020021566455,0,1.40377284172052,3.76019241805181,0,0.320008029863801,2.3988191463692,High School,1.8506399503313757,1.3511873108784291,2.338173274175532
NE,-1.39658995185032,0,-10.043698466622,1.92927842389729,0,4.03444482224628,0.723892380981019,0,2.48948713122564,High School,1.2661667955560683,0.826000307061853,1.715914289722839
NFL,-1.31353261943929,0,-4.92914781954197,1.75422530896099,0,4.82676124852724,0.748782161977407,0,1.02121227169584,NFL,1.732952878852901,1.065403718227869,2.389570499639627
NH,0,-0.503329555245353,-8.70429377329312,0,2.24403503719424,4.00021191564158,0,0.224296656203138,2.17595816343071,High School,1.2853711622310762,0.8868038469032786,1.673782974555007
NJ,0,-0.965966853695681,-10.756423238539,0,2.80250846491794,5.29291566620568,0,0.34467937056667,2.03223023318071,High School,1.5716612831858958,1.419095956541411,1.7242583509214917
NM,0,-4.85047526513461,-11.4786643168217,0,1.33380944658001,3.08546439639119,0,3.63655788881359,3.72023878488027,High School,2.12161763260923,1.7216804123922251,2.5193118113504864
NV,-0.795266357699155,0,-15.0113721404197,1.18595572336562,0,3.71896925742994,0.670570023847325,0,4.03643351190096,High School,1.6051503573740848,0.8138474202076982,2.3693907897128015
NY,-3.94755110511609,0,-5.174206775812,3.67035253893761,0,6.7971597706378,1.07552368968315,0,0.761230712593135,High School,1.6766042271207084,1.4313908909421786,1.9319276891969925
OH,-1.41934570925615,0,-10.3476724600896,3.97738580936248,0,5.69104719938795,0.356853917946584,0,1.81823697775736,High School,1.5632020817996277,1.362981680010784,1.7709634474550395
OK,-1.72850203415908,0,-9.53207832521063,2.93630798179823,0,5.44145567128012,0.588665100825195,0,1.75175153507557,High School,1.8123803230742213,1.4643564139730076,2.1671046789471538
OR,0,-0.757136830712277,-10.1872604564473,0,1.54687891847591,3.59954262311985,0,0.489460953710753,2.83015413986616,High School,2.1179691851153315,1.8200125461285452,2.42185809721962
PA,0,-7.17889731577658,-21.4245698544665,0,3.4443221040298,5.13641465574996,0,2.08427002439098,4.17111376132431,High School,1.3657629073239226,1.2470605786508662,1.4842861270879786
RI,0,-1.57518311789191,-11.6398299302698,0,0.97478753142484,3.4774633928721,0,1.61592456521215,3.34721853697393,High School,1.2833730113555475,0.8474359051476127,1.7055404622254866
SC,0,-3.10979118394255,-16.9325615480244,0,2.42985892626033,4.80927599067574,0,1.2798237586281,3.52081302484062,High School,1.4308319704646895,1.2464754190785372,1.6191209018637922
SD,0,-1.30456902966981,-6.93147783090404,0,2.83744828489847,4.58845039497689,0,0.459768390004855,1.5106358866802,High School,1.327118238681066,0.8980377326554058,1.7408927364995224
TN,-3.4484186300703,-1.79038161747452,0,6.64617817095028,5.88869573160067,0,0.518857385608914,0.30403703962267,0,High School,1.3351375070986926,0.7421789514947604,1.9372351930315914
TX,-5.91929544914476,0,-29.860397583899,5.03762079890548,0,6.11858923977153,1.17501806615354,0,4.88027491530286,High School,1.509739776567314,1.3468585173120569,1.6765253511494933
UT,0,-1.04358925033081,-14.2443078574363,0,1.94519885952953,4.08767798059212,0,0.536494891110114,3.48469422617604,High School,1.6295571846073236,1.3516221586722978,1.9137127619904826
VA,-0.484283891588382,-0.837648840013658,0,7.32685850386053,7.01169630634827,0,0.0660970716621882,0.119464506649449,0,High School,0.649676746915996,-0.014987763372329025,1.2951686861286542
VT,0,-0.0280637459867297,-9.73620829817889,0,1.12865213205213,3.83595614732369,0,0.0248648322984193,2.53814379629229,High School,1.9305296798377058,1.3832692670564835,2.473290937302597
WA,-0.656680699430548,-3.53170670855203,0,6.54193959604258,6.34704205939999,0,0.10038012271281,0.556433481218478,0,High School,2.0785311026087467,1.320752530565067,2.8393098219501054
WI,-2.58408779755287,0,-8.58606638443446,3.45485893265984,0,5.85445959438594,0.74795754267264,0,1.46658564227994,High School,1.4423701782179998,1.143986299909933,1.7569548672269235
WV,-2.04656173624729,0,-4.31045748897553,3.07665939830637,0,5.12486780755418,0.665189568066545,0,0.841086570588574,High School,2.124060066141343,1.3205452712667507,2.9951559907373726
WY,0,-1.02267327237394,-11.1219841364909,0,0.905806706612439,3.19133937207825,0,1.12901932046691,3.4850521488876,High School,2.3969299736978487,1.8551130142917571,2.925046909037647
